,0000011110,0000101110,0001111110,0100001001,0100011111,0101000001,0101000111,0101110001,0101110111,0110101101,0110101110,0110110001,0110110110,0111100010,1000011111,1000101100,1000101111,1000110001,1000110100,1000110111,1010000010,1010000100,1010000111,1010001001,1011100010
0000011110,84,5,10,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,120,6,0,12,0
0000101110,44,60,13,0,0,0,3,0,0,0,3,0,0,0,0,7,4,0,0,0,108,0,0,8,0
0001111110,56,25,79,0,0,0,0,26,7,0,0,0,0,0,0,0,0,0,8,3,46,0,0,0,0
0100001001,0,0,0,112,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,110,0
0100011111,51,0,0,71,11,0,28,0,15,2,0,0,0,0,12,0,0,0,0,0,36,0,0,24,0
0101000001,0,0,0,82,0,65,7,9,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,73,0
0101000111,0,0,0,21,4,59,52,4,6,0,0,0,0,0,0,0,0,0,0,0,98,0,6,0,0
0101110001,0,0,4,56,0,20,0,130,5,0,0,6,0,0,0,0,0,6,0,0,0,0,0,23,0
0101110111,0,0,59,21,13,9,31,67,11,0,0,0,7,0,0,0,0,0,0,5,27,0,0,0,0
0110101101,0,18,23,39,0,0,6,16,0,20,2,4,0,0,0,13,3,0,0,0,21,0,0,85,0
0110101110,21,32,23,0,0,0,7,0,0,21,11,0,7,0,0,1,5,0,0,0,115,0,0,7,0
0110110001,0,0,0,35,0,0,0,74,0,4,0,7,9,0,0,0,0,7,0,0,4,0,0,110,0
0110110110,16,0,71,0,0,0,0,5,6,13,13,13,0,0,0,0,0,0,4,7,97,0,0,5,0
0111100010,0,0,6,0,0,16,0,73,0,0,6,0,0,11,0,0,0,0,0,0,111,0,0,24,3
1000011111,83,0,0,13,20,0,7,0,0,0,0,0,0,0,8,0,3,0,0,9,24,7,25,51,0
1000101100,5,46,0,6,0,0,0,0,0,0,0,0,0,0,0,20,5,0,12,0,33,61,0,62,0
1000101111,10,52,3,7,6,0,24,0,0,0,0,0,0,0,9,12,8,0,0,10,28,0,33,48,0
1000110001,6,0,0,37,0,0,0,51,0,0,0,8,0,0,0,0,0,15,10,3,3,0,0,117,0
1000110100,6,0,41,8,0,0,0,11,0,0,0,0,0,0,0,5,0,30,25,5,35,65,0,19,0
1000110111,15,0,49,10,10,0,17,13,10,0,0,0,0,0,7,0,3,8,7,6,27,0,28,40,0
1010000010,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,5,3,79,4
1010000100,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,13,0,74,68,6,76,0
1010000111,0,0,0,0,0,7,1,5,0,0,0,0,0,0,5,0,5,0,0,4,91,3,38,91,0
1010001001,3,0,0,4,0,7,0,10,0,0,0,0,0,0,0,6,0,0,0,0,5,4,2,209,0
1011100010,0,0,11,0,0,4,0,57,0,0,0,0,0,13,0,7,0,5,0,0,112,0,0,41,0
