,0000100001,0000100111,0001110001,0001110111,0001111011,0010010001,0010010111,0010011011,0011100001,0011100111,0110010110,0111000110,0111011010,0111100000,1001110000,1001110110,1001111010,1010010000,1010011010,1110010001,1110010111,1111001101
0000100001,223,13,5,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0
0000100111,87,71,0,8,0,0,70,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0
0001110001,141,0,79,7,5,5,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0
0001110111,53,39,24,59,5,0,55,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0
0001111011,59,72,39,25,28,0,15,3,0,5,0,0,0,0,0,0,4,0,0,0,0,0
0010010001,155,0,6,0,0,57,8,1,5,0,7,0,0,0,0,0,0,8,0,3,0,0
0010010111,59,8,0,3,0,29,130,4,0,5,9,0,0,0,0,0,0,0,0,0,3,0
0010011011,73,63,0,0,2,27,54,8,0,7,0,0,7,0,0,0,0,0,3,6,0,0
0011100001,95,0,32,0,0,2,0,0,106,10,0,0,0,5,0,0,0,0,0,0,0,0
0011100111,21,54,6,24,0,0,20,0,62,54,0,9,0,0,0,0,0,0,0,0,0,0
0110010110,39,0,0,0,0,7,98,0,0,0,63,36,4,0,0,0,0,0,0,0,3,0
0111000110,0,3,0,0,0,0,47,0,31,36,55,47,1,30,0,0,0,0,0,0,0,0
0111011010,44,24,0,0,31,7,9,17,0,6,43,27,18,24,0,0,0,0,0,0,0,0
0111100000,48,0,7,0,0,0,0,0,77,0,36,5,5,68,4,0,0,0,0,0,0,0
1001110000,58,0,69,0,0,0,0,0,5,0,3,0,0,0,102,4,9,0,0,0,0,0
1001110110,25,31,15,55,0,0,58,0,0,9,9,3,0,0,38,5,2,0,0,0,0,0
1001111010,51,27,25,18,37,0,3,0,5,0,0,0,10,0,48,11,15,0,0,0,0,0
1010010000,84,0,9,0,0,30,8,0,2,0,28,0,0,0,68,0,0,6,10,5,0,0
1010011010,46,30,0,0,3,7,37,10,0,4,18,0,11,0,56,0,7,9,0,12,0,0
1110010001,115,0,7,0,0,34,0,0,14,0,31,0,0,0,0,0,0,5,0,38,6,0
1110010111,31,14,0,4,0,13,105,0,1,9,36,5,0,0,0,0,0,0,0,28,4,0
1111001101,34,0,2,0,0,19,12,0,94,21,2,10,0,28,0,0,0,0,0,16,7,5
