,0001000100,0001011010,0110000101,1010101011,1011000101,1011110011,1011111001,1101100101,1101101010,1101111001,1110101010
0001000100,214,6,19,0,7,0,0,4,0,0,0
0001011010,31,179,0,0,11,0,2,0,16,0,11
0110000101,35,0,204,0,11,0,0,0,0,0,0
1010101011,0,18,19,35,84,15,4,0,12,0,63
1011000101,23,0,57,0,170,0,0,0,0,0,0
1011110011,7,13,13,13,123,43,31,0,0,0,7
1011111001,0,13,11,34,90,29,61,0,0,5,7
1101100101,37,0,42,0,106,0,0,65,0,0,0
1101101010,21,21,10,25,37,0,9,39,36,7,45
1101111001,6,14,7,24,85,16,25,59,14,0,0
1110101010,0,0,60,44,36,0,3,0,28,0,79
