,0000011001,0101100110,0101101011,1001011011,1011100000,1011100110,1011101010,1101100000,1110011000,1110100001,1110100110,1110101011
0000011001,67,0,42,0,0,0,0,0,7,0,134,0
0101100110,0,164,3,0,0,0,0,0,0,0,83,0
0101101011,5,74,129,0,0,0,7,0,0,0,35,0
1001011011,20,14,101,5,0,0,0,0,14,0,90,6
1011100000,0,20,47,0,60,11,7,9,5,13,78,0
1011100110,0,36,0,0,28,25,9,0,0,0,152,0
1011101010,0,9,102,9,31,10,6,0,3,0,71,9
1101100000,0,87,76,0,29,0,0,9,3,10,36,0
1110011000,19,4,43,0,0,0,0,0,56,38,30,60
1110100001,0,17,43,0,12,4,0,12,4,70,71,17
1110100110,0,66,0,0,0,12,0,0,0,34,121,17
1110101011,0,25,87,3,0,14,5,0,4,26,45,41
