,0001001100,0110110010,0111001101,0111010111,0111011001,0111011110,1000101100,1000110000,1001000000,1010010111,1010011001,1010101001,1011001101,1100101011,1101010111
0001001100,141,0,4,0,0,0,9,16,62,0,18,0,0,0,0
0110110010,0,7,2,47,0,31,0,122,32,6,3,0,0,0,0
0111001101,66,0,94,11,3,0,0,0,26,0,48,0,2,0,0
0111010111,16,0,52,72,3,19,0,23,21,4,34,0,0,0,6
0111011001,31,0,69,15,25,0,0,6,19,0,85,0,0,0,0
0111011110,51,0,58,55,9,44,0,0,7,0,26,0,0,0,0
1000101100,62,0,0,0,0,0,43,126,0,12,7,0,0,0,0
1000110000,0,2,0,0,0,0,11,214,10,13,0,0,0,0,0
1001000000,18,0,6,0,0,0,0,94,132,0,0,0,0,0,0
1010010111,6,0,0,19,0,0,11,11,43,85,66,0,6,0,3
1010011001,11,0,0,0,7,0,12,30,36,15,130,4,5,0,0
1010101001,17,0,7,0,0,0,6,76,36,6,71,28,3,0,0
1011001101,69,0,32,0,0,0,3,7,37,20,60,7,15,0,0
1100101011,36,0,19,0,0,4,0,82,9,10,20,22,0,0,48
1101010111,36,0,13,33,0,30,0,7,30,44,0,0,0,0,57
