,0000001001,0000001111,0000010001,0000110011,0001000101,0001001000,0001010110,0001101101,0001111001,0001111111,0010000000,0011010001,0011111110,0100000110,0100011001,0100100001,0100101100,0100101111,0100110111,0101000000,0101001011,0101011000,0101100101,0101101001,0101101110,0101110000,0110001001,0110001110,0110010011,0110011010,0110011100,0110011111,0110111101,0111000001,0111000010,0111000111,0111011011,0111011101,0111110110,0111111000,1000000001,1000000111,1000011011,1000011101,1000100011,1000110111,1001000011,1001001110,1001010111,1001101111,1010010110,1010011000,1010011111,1010101000,1010101110,1010110101,1011000001,1011101011,1100000010,1100001001,1100010000,1100101011,1101110011,1101111101,1110000110,1110011001,1111000100,1111010010,1111010101,1111011000
0000001001,339,14,40,0,0,25,0,10,0,0,0,0,0,9,13,7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
0000001111,226,144,22,0,6,0,0,10,0,0,0,0,0,12,0,0,0,13,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,12,0,0,0,0,0,0,11,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000010001,162,0,256,6,0,0,0,0,0,0,0,15,0,9,9,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000110011,155,11,96,80,0,0,0,0,0,0,0,0,0,86,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001000101,275,13,74,0,65,0,0,20,0,0,0,8,0,0,0,0,0,0,0,13,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001001000,241,18,27,0,0,105,0,8,0,0,0,0,0,34,0,0,0,0,0,31,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001010110,83,51,105,10,12,0,40,0,0,0,0,0,0,67,0,0,0,0,65,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,7,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001101101,146,40,152,0,30,0,0,64,11,12,0,0,0,0,0,0,12,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001111001,205,0,139,11,0,24,0,22,37,24,0,0,0,11,11,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
