,0001001111,0010001000,0010001111,0010100111,0101001000,0101001110,1010100110,1011000010,1011001110,1100011111,1100100011,1100100100,1111001111,1111110011
0001001111,87,0,14,9,120,9,0,0,11,0,0,0,0,0
0010001000,0,153,7,0,64,0,17,5,4,0,0,0,0,0
0010001111,45,75,66,13,28,7,0,0,16,0,0,0,0,0
0010100111,14,44,26,81,11,0,69,0,0,0,0,5,0,0
0101001000,0,9,0,0,222,5,0,0,0,8,0,6,0,0
0101001110,44,0,13,0,128,33,0,0,8,14,0,10,0,0
1010100110,0,21,15,23,0,0,153,5,26,0,0,7,0,0
1011000010,0,21,0,6,36,0,118,50,9,5,0,0,5,0
1011001110,16,17,32,0,0,5,30,46,99,0,0,0,5,0
1100011111,54,0,27,20,16,19,0,0,12,69,18,11,4,0
1100100011,12,0,2,29,24,0,42,0,0,49,38,54,0,0
1100100100,0,20,0,2,43,0,61,0,3,28,9,84,0,0
1111001111,43,5,39,0,30,12,0,16,50,24,0,12,19,0
1111110011,0,12,15,43,8,0,99,0,0,11,18,21,23,0
