,0000101000,0000101110,0000111010,0001100000,0001100101,0001110010,0010000101,0010001010,0010011000,0010111101,0011010101,0011100010,0011110100,0011110111,0100000111,0100001000,0100001011,0100010000,0100011010,0100100011,0100101010,0100101101,0101000100,0101010101,0101011000,0101011011,0101110000,0101110110,0110000010,0110010111,0110100000,0110111110,0111001000,0111011111,0111110010,1000000111,1000001001,1000100001,1000110111,1001000100,1001011110,1001101101,1001101110,1001110101,1001111010,1010000110,1010001000,1010010011,1010011101,1010100100,1010111001,1011000001,1011001101,1011100011,1100000011,1100001101,1100010101,1100101001,1101010011,1101100010,1101100101,1110000000,1110000101,1110011001,1110011100,1110111011,1111001011,1111001110,1111010010,1111010100,1111100111,1111101001
0000101000,178,9,12,9,0,0,0,60,9,0,0,0,0,0,0,173,0,0,0,0,16,14,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000101110,88,78,10,13,0,0,10,48,0,0,0,0,0,0,0,172,0,0,0,0,8,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,15,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111010,27,31,44,0,0,13,0,84,10,0,0,0,0,0,0,117,0,0,10,0,11,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,9,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001100000,98,0,0,111,14,11,0,8,0,0,0,8,16,0,0,184,0,0,0,0,0,0,10,0,11,0,10,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001100101,82,0,0,54,34,0,31,0,0,0,8,10,9,0,0,111,0,0,0,0,0,39,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,18,0,5,0,15,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0001110010,13,17,27,81,0,10,0,7,0,0,0,10,0,0,0,63,0,27,0,0,0,0,0,0,7,0,13,9,0,0,0,0,0,0,12,0,0,7,0,0,0,0,0,0,18,0,0,159,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010000101,10,0,0,0,10,0,184,0,0,0,11,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6,0,0,0,0,0,0,0,12,14,0,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
0010001010,14,17,12,0,0,0,18,159,9,0,0,0,0,0,0,141,0,0,13,0,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,15,24,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010011000,66,0,11,0,0,0,38,36,62,0,0,0,0,0,0,129,0,8,12,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
