,Fitness,Location,Maxima
0000000000,0.4980686314427959,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.3402579767235128,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,0.550476446546803,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,0.5754461820872706,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,0.49289616353014337,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.576175101667477,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.35885007283018966,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.4090836001220075,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.5819914869379412,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.6389749627150156,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",1
0000001010,0.4489266004333385,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,0.4581143319238653,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.6214115738690635,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",1
0000001101,0.43825589356401584,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,0.4786735379789948,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,0.43156577437881716,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,0.4881986174244858,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,0.46405142475325417,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.4929291012384633,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.5473383703480896,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.4720058500633355,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,0.5862009115283302,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.4750514900778122,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.5842450199561366,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.37056654880345413,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.6088635782627642,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.4957096590306785,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.605485572186993,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.60723531391472,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,0.5791184445289993,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.33421385321418084,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,0.500075852964139,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,0.5398661716244114,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,0.3737491567734569,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,0.45734868507943355,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",0
0000100011,0.6139021388297204,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",1
0000100100,0.5111997564207958,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,0.4956560845488882,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,0.6081892727862674,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",1
0000100111,0.55099587794747,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,0.4312202297654727,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,0.5482395420821362,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,0.38965524002054225,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",0
0000101011,0.5201301483463647,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",0
0000101100,0.42667198431820347,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",0
0000101101,0.33832518399379574,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",0
0000101110,0.5211221942501763,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",0
0000101111,0.2946461234371655,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",0
0000110000,0.6651836085280868,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",1
0000110001,0.6057679803389305,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 1)",0
0000110010,0.4886084152821192,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 0)",0
0000110011,0.46744567142142346,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 1)",0
0000110100,0.39483477399964545,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 0)",0
0000110101,0.6708048367778827,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 1)",1
0000110110,0.4313758294422413,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 0)",0
0000110111,0.623750569011788,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 1)",0
0000111000,0.5471984214307445,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 0)",0
0000111001,0.5741552152151917,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 1)",0
0000111010,0.4047203023139797,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 0)",0
0000111011,0.47573716680903433,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 1)",0
0000111100,0.5169639186591914,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 0)",0
0000111101,0.5301616678831955,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 1)",0
0000111110,0.46316641498018873,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 0)",0
0000111111,0.6057198908844592,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 1)",0
0001000000,0.5360512136623913,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",0
0001000001,0.2855700525252634,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 1)",0
0001000010,0.5276959077986645,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 0)",0
0001000011,0.5262349772015827,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 1)",0
0001000100,0.2661748914977108,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 0)",0
0001000101,0.4591123614045462,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 1)",0
0001000110,0.49505771589525677,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 0)",0
0001000111,0.4945026787194407,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 1)",0
0001001000,0.5547819257573546,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0)",0
0001001001,0.5338095391806574,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 1)",0
0001001010,0.549245009015152,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 0)",0
0001001011,0.6172130528964557,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 1)",1
0001001100,0.4259796472189105,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 0)",0
0001001101,0.4240538109749756,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 1)",0
0001001110,0.5218164269070348,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 0)",0
0001001111,0.5460865553714138,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 1)",0
0001010000,0.3530183969843905,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 0)",0
0001010001,0.5366846463568857,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 1)",0
0001010010,0.38397203171977756,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 0)",0
0001010011,0.4258920633044526,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 1)",0
0001010100,0.4795598793934966,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 0)",0
0001010101,0.4825639781352923,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 1)",0
0001010110,0.4297545811688009,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 0)",0
0001010111,0.4581870047397528,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 1)",0
0001011000,0.5513380248896318,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 0)",0
0001011001,0.27700776017473683,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 1)",0
0001011010,0.36418914380483897,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 0)",0
0001011011,0.6087680863082284,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 1)",0
0001011100,0.6045469806115077,"(0, 0, 0, 1, 0, 1, 1, 1, 0, 0)",0
0001011101,0.44845655078000296,"(0, 0, 0, 1, 0, 1, 1, 1, 0, 1)",0
0001011110,0.4241432997044413,"(0, 0, 0, 1, 0, 1, 1, 1, 1, 0)",0
0001011111,0.5279079340775696,"(0, 0, 0, 1, 0, 1, 1, 1, 1, 1)",0
0001100000,0.37090046478509453,"(0, 0, 0, 1, 1, 0, 0, 0, 0, 0)",0
0001100001,0.6679789050091168,"(0, 0, 0, 1, 1, 0, 0, 0, 0, 1)",1
0001100010,0.36970965366063535,"(0, 0, 0, 1, 1, 0, 0, 0, 1, 0)",0
0001100011,0.407818260685633,"(0, 0, 0, 1, 1, 0, 0, 0, 1, 1)",0
0001100100,0.518817898579617,"(0, 0, 0, 1, 1, 0, 0, 1, 0, 0)",0
