,0000000011,0000010100,0000011011,0000100000,0000101010,0000110011,0000111100,0001000010,0001000101,0001111110,0010001001,0010010110,0010101100,0010110101,0010111110,0011000100,0011000111,0011001010,0011011011,0011011101,0011100010,0011101111,0011110111,0100000001,0100001010,0100010111,0100011101,0100101101,0100110000,0100111110,0101000100,0101000111,0101001110,0101011111,0101101100,0101110011,0101111001,0110001100,0110010001,0110011000,0110011111,0110100000,0111000000,0111001111,0111010101,0111011001,0111011010,0111101101,0111111100,1000000110,1000001011,1000001101,1000010111,1000100001,1000111110,1001010000,1001010011,1001011001,1001011110,1001101000,1001110001,1001111100,1010000001,1010001100,1010011001,1010011111,1010100111,1010101011,1010110000,1011001000,1011001111,1011010001,1011101101,1011110100,1011111000,1011111111,1100000111,1100010000,1100011100,1100110011,1100111000,1101001001,1101011101,1101100101,1101101011,1101110010,1110000011,1110011110,1110100001,1110101111,1110110100,1110111101,1111000001,1111001100,1111011111,1111101010,1111110000
0000000011,283,15,14,13,17,40,0,22,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,45,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
0000010100,30,71,0,13,86,109,24,6,0,0,0,40,11,0,0,14,0,0,0,0,0,0,0,26,0,0,0,0,19,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000011011,98,4,160,0,63,80,0,0,0,0,0,20,0,0,0,0,0,0,16,0,0,0,0,15,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000100000,69,11,0,92,87,41,0,58,12,0,0,24,9,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,11,0,0,0,0,0,0,27,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000101010,73,0,16,29,269,18,0,12,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000110011,146,27,53,14,9,160,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111100,0,24,13,6,130,88,95,0,0,13,0,0,35,0,14,0,0,0,0,0,0,0,0,0,0,0,0,13,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001000010,120,19,12,13,69,25,0,91,0,0,0,29,0,0,0,0,0,10,0,0,8,0,0,7,27,0,0,0,0,0,0,0,11,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001000101,45,22,0,0,47,33,0,97,148,0,0,15,0,0,0,11,6,0,0,0,0,0,0,14,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
0001111110,0,72,39,0,78,38,64,6,0,25,0,0,0,0,15,0,0,0,0,0,0,18,0,0,0,0,0,13,0,8,0,0,31,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,24,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010001001,112,0,4,18,87,46,0,22,8,0,60,37,16,0,0,0,0,11,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11,0,21,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010110,8,63,0,0,88,21,0,0,0,0,0,268,8,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010101100,0,0,0,26,175,5,41,11,22,0,9,0,70,0,13,0,0,11,0,0,0,17,0,0,0,0,0,28,0,0,0,0,0,0,9,0,0,9,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,14,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010110101,0,19,15,12,0,133,58,0,67,0,0,78,31,11,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,25,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
