,0000000010,0000000111,0000011110,0000100100,0000101000,0000111100,0000111111,0001100001,0001100110,0001101100,0010000101,0010001000,0010010100,0010011011,0010100011,0010101111,0010110000,0011000011,0011000100,0011010000,0011010110,0011011111,0011110100,0011110111,0011111010,0100001010,0100001100,0100010011,0100011111,0100100010,0100110110,0100111001,0101000010,0101001001,0101010110,0101011000,0101101010,0101110100,0110000011,0110010111,0110011001,0110011010,0110100001,0110101000,0111001111,0111011110,0111100000,0111101110,0111111101,1000001010,1000001111,1000010000,1000100000,1000100111,1000110001,1000110110,1000111011,1001001001,1001010011,1001100011,1001101110,1001110010,1001110101,1010010101,1011000000,1011000101,1011001110,1011010111,1011011101,1011100001,1011110000,1011111001,1100000101,1100011101,1100101011,1100101100,1100110010,1100110101,1100111110,1101010010,1101100001,1101100110,1101110111,1110000001,1110000110,1110011011,1110100100,1110101010,1110111101,1111001001,1111010011,1111101100,1111111010
0000000010,335,35,7,12,0,0,0,0,13,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,9,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000111,150,176,13,11,0,0,0,0,0,0,11,0,0,0,21,0,0,14,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,14,0,0,13,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000011110,93,47,163,5,0,15,13,0,0,0,0,0,0,13,0,0,0,0,0,0,11,15,0,0,14,6,0,0,13,0,0,0,0,0,14,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,11,0,0,0,0,11,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000100100,149,28,43,99,8,9,0,17,17,8,8,0,11,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
0000101000,196,0,49,15,47,11,0,14,0,12,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,7,0,0,16,0,0,7,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111100,58,27,98,21,21,35,6,0,0,13,0,0,11,14,0,0,0,0,0,0,0,14,15,0,20,0,14,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,11,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111111,54,92,43,12,0,4,41,0,0,0,0,0,0,39,0,21,0,0,0,0,0,29,0,0,28,0,0,0,10,0,0,5,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,6,0,10,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001100001,82,13,0,16,4,0,0,33,15,0,0,0,0,0,73,0,0,21,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,22,0,43,9,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,12,0,0,0,0,14,42,11,0,0,10,0,0,8,0,0,0,14,0,0,0,0,0,0,0,24,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
0001100110,75,44,41,92,0,0,0,9,48,20,0,0,0,0,21,0,0,0,10,0,45,13,0,0,22,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
