,0010000001,0010001100,0011101000,0100111110,0110000010,0110001110,0111010001,0111010010,0111011110,1000010101,1000011110,1000111010,1011010010,1011010101,1011011110,1011101010,1011101101,1100111111,1111001100,1111010100
0010000001,264,31,0,0,14,0,16,0,0,147,0,0,0,0,0,0,28,0,0,0
0010001100,99,276,20,0,30,6,0,0,0,22,0,0,0,0,9,0,38,0,0,0
0011101000,100,67,207,0,49,0,7,0,0,48,0,0,0,0,0,7,15,0,0,0
0100111110,0,210,15,43,104,11,0,0,10,68,12,0,0,0,0,0,13,14,0,0
0110000010,116,14,0,0,308,11,0,13,0,22,0,0,16,0,0,0,0,0,0,0
0110001110,33,210,9,0,185,23,0,0,15,12,0,0,0,0,13,0,0,0,0,0
0111010001,116,9,0,0,0,0,169,15,0,156,0,0,0,35,0,0,0,0,0,0
0111010010,58,0,0,11,197,0,125,53,15,12,0,0,18,11,0,0,0,0,0,0
0111011110,0,162,9,9,102,31,61,67,21,6,0,0,0,3,11,0,8,0,10,0
1000010101,8,8,0,0,0,0,0,0,0,289,0,0,15,17,0,0,163,0,0,0
1000011110,0,94,0,14,59,8,0,0,11,35,41,11,89,0,22,0,116,0,0,0
1000111010,0,8,11,40,73,0,0,0,0,138,44,0,78,0,0,31,62,15,0,0
1011010010,30,0,0,0,91,0,69,38,0,16,0,0,140,52,10,14,40,0,0,0
1011010101,24,9,0,0,0,0,67,0,0,190,0,0,9,56,0,0,139,0,0,6
1011011110,0,86,0,0,0,15,28,25,21,0,51,0,91,38,18,12,105,0,10,0
1011101010,21,6,124,0,99,0,0,0,0,7,0,26,93,0,29,29,66,0,0,0
1011101101,25,52,59,0,0,0,0,0,0,24,0,0,0,0,0,11,329,0,0,0
1100111111,0,61,0,34,32,0,0,0,0,170,9,0,0,0,0,0,177,17,0,0
1111001100,31,136,31,0,25,21,7,0,12,17,0,0,0,0,7,0,200,0,0,13
1111010100,100,16,0,0,40,0,82,36,13,70,0,0,10,33,0,0,90,0,10,0
