,0000010101,0000011001,0001101111,0010101001,0010101111,0010110101,0011010101,0101001001,0101010100,0111101100,1101010110,1111101001,1111101110,1111110101,1111111011
0000010101,176,50,0,0,0,7,5,0,12,0,0,0,0,0,0
0000011001,90,148,0,9,0,0,0,3,0,0,0,0,0,0,0
0001101111,37,67,40,0,17,0,0,81,0,4,0,0,4,0,0
0010101001,0,90,0,62,4,53,0,33,0,8,0,0,0,0,0
0010101111,29,39,39,24,37,72,0,10,0,0,0,0,0,0,0
0010110101,93,12,0,6,2,123,2,0,9,3,0,0,0,0,0
0011010101,93,53,0,0,0,34,51,0,18,1,0,0,0,0,0
0101001001,6,113,0,0,0,0,0,90,35,6,0,0,0,0,0
0101010100,56,15,0,0,0,0,17,0,153,3,6,0,0,0,0
0111101100,0,15,4,6,6,23,0,36,61,85,0,7,7,0,0
1101010110,66,11,0,0,0,0,32,0,123,0,0,0,18,0,0
1111101001,0,54,0,19,0,14,0,77,0,42,0,32,0,9,3
1111101110,0,18,22,9,23,0,0,21,36,48,0,21,47,0,5
1111110101,57,15,0,0,0,60,26,0,25,29,0,28,8,2,0
1111111011,16,62,0,34,10,4,10,42,13,9,0,29,5,16,0
