,0000000111,0000001000,0000001101,0000111000,0000111101,0001010111,0001011000,0001100101,0001110010,0010010001,0010011011,0010011101,0011000110,0011010010,0011100001,0011111011,0100010000,0100100010,0101001001,0101100000,0101101100,0110001101,0110001110,0110101011,0110101100,0111010111,0111100010,0111100101,0111111000,1000011110,1000111111,1001010010,1001011111,1010001000,1010010000,1010011100,1010100110,1010101100,1011000010,1011011011,1011110000,1011110101,1100000001,1101011011,1110000011,1110011011,1111010010,1111010100,1111101010,1111111011
0000000111,174,50,6,0,0,6,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000001000,13,187,11,3,0,0,8,0,0,2,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000001101,69,68,75,0,10,0,0,6,0,4,0,6,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111000,0,127,0,53,12,0,3,0,7,0,5,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,17,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111101,25,38,41,38,61,0,0,26,0,0,7,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001010111,137,19,0,0,11,23,0,2,12,0,24,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001011000,8,120,0,16,3,0,45,0,4,5,11,0,0,0,0,8,6,0,5,0,0,0,0,0,0,0,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001100101,64,49,26,0,8,10,0,59,5,0,0,0,0,0,6,0,0,0,0,18,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001110010,15,44,0,20,0,9,3,0,65,6,18,0,0,10,2,0,9,36,0,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
