,0000000011,0000001110,0000011101,0000100101,0000110000,0001000001,0001010111,0001011001,0001011100,0001101011,0001111010,0010000010,0010010100,0010011111,0010100001,0010101000,0010110010,0011010001,0011011000,0011110101,0011111011,0100000001,0100000111,0100001000,0100001011,0100001101,0100010101,0100011110,0100101100,0101000000,0101000011,0101000101,0101001110,0101010001,0101010010,0101101101,0101110110,0101111111,0110010010,0110011000,0110011011,0110100010,0110101111,0110110000,0110111101,0111000001,0111100100,1000000010,1000011001,1000011100,1000100111,1000110011,1000110100,1000111111,1001000101,1001001001,1001001100,1001010110,1001100000,1001100110,1001111101,1010000001,1010001101,1010010000,1010100010,1010100101,1010101110,1010110111,1010111001,1011000000,1011000110,1011001011,1011010010,1011010101,1011100011,1011101101,1100000011,1100011101,1100101000,1100101111,1100110000,1100110111,1100111011,1101001000,1101001011,1101011100,1101100001,1101100111,1101111010,1110000000,1110010111,1110101010,1110111100,1111000101,1111001010,1111001100,1111010001,1111010100,1111011111,1111101001,1111110111,1111111000,1111111110
0000000011,301,24,0,11,0,12,0,0,0,0,0,20,0,0,0,7,0,0,0,0,0,22,16,0,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,13,14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000001110,91,320,0,0,0,0,0,0,0,0,0,11,0,0,0,19,0,0,3,0,0,0,0,12,0,0,0,11,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000011101,74,123,26,28,0,0,0,18,13,0,0,0,11,9,0,0,0,0,60,0,0,0,0,0,0,8,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,7,6,0,0,0,12,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000100101,123,72,7,150,0,7,0,0,0,0,0,0,0,0,7,47,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,11,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000110000,63,49,0,11,68,0,0,9,0,0,11,0,6,0,13,71,11,0,74,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,16,0,0,0,26,11,0,0,0,0,0,26,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001000001,203,12,0,11,0,68,0,18,0,0,10,0,0,0,0,21,0,4,0,0,0,13,13,0,0,0,0,0,0,26,13,6,0,15,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,10,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001010111,157,207,10,11,0,0,13,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,10,0,0,11,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001011001,93,23,35,9,0,47,0,101,4,0,24,0,0,0,0,11,0,12,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,0,0,9,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
0001011100,39,187,32,13,0,0,0,11,0,0,34,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,11,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
