,0000000011,0000001010,0000001100,0000010000,0000011111,0000100100,0000101011,0000111101,0001000010,0001000100,0001001011,0001100110,0001101000,0001110101,0001111110,0010000010,0010001101,0010101000,0010110111,0010111100,0011000001,0011001010,0011010011,0011010110,0011011001,0011011100,0011100000,0011110010,0100000100,0100000111,0100010011,0100011001,0100101101,0100110101,0100111011,0101001100,0101010101,0101101111,0101110110,0101111001,0110000110,0110010001,0110011000,0110011011,0110111001,0110111111,0111000010,0111001000,0111011111,0111101010,0111101101,0111111011,0111111100,1000001001,1000010100,1000011000,1000101101,1000110001,1000110111,1001100000,1001100011,1001110100,1001111010,1010000000,1010011011,1010011101,1010110000,1010111110,1011000011,1011010001,1011010100,1011011000,1011011111,1011100100,1011101001,1011101110,1100000010,1100001000,1100001011,1100001101,1100010111,1100101100,1101011001,1101101001,1101101010,1101110001,1101111000,1110000001,1110011010,1110101101,1110110111,1111000101,1111010110,1111100110,1111101111
0000000011,184,25,0,118,0,0,10,0,12,13,8,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,22,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000001010,24,182,15,80,12,0,22,0,14,0,14,0,0,0,15,8,0,12,0,0,0,10,0,0,0,0,0,0,26,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000001100,5,106,146,62,17,29,15,0,0,17,0,0,0,0,8,0,8,12,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000010000,30,11,27,344,8,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000011111,83,70,45,13,158,0,34,13,0,10,9,0,0,0,18,0,12,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000100100,25,30,57,68,8,145,13,0,0,14,0,18,0,35,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000101011,83,119,0,30,11,11,139,0,0,0,17,0,0,0,12,15,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111101,19,18,103,30,51,41,55,60,0,20,0,0,0,19,6,0,13,0,0,18,0,0,0,0,0,0,0,0,0,0,0,17,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001000010,64,65,0,103,12,0,0,0,78,20,13,10,0,11,11,16,0,0,0,0,16,12,0,6,0,0,0,0,21,0,0,0,0,0,0,11,0,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
