,0000000001,0000100011,0000100110,0001001000,0001011111,0001100000,0001100101,0001110100,0010000000,0010000011,0010001111,0010011011,0010111110,0011011010,0011101000,0011110111,0011111100,0100000111,0100001110,0100010001,0100010100,0100011010,0100011101,0100100000,0100111110,0101000011,0101000100,0101001001,0101001111,0101101000,0110101010,0110101101,0110110001,0110111000,0111010101,0111011000,0111101011,0111111111,1000001101,1000010001,1000010100,1000100010,1000101100,1001000000,1001000101,1001001110,1001101001,1001110101,1001111111,1010000111,1010001001,1010011110,1010100101,1010110011,1010111001,1010111010,1011000010,1011010101,1011011111,1011101010,1011101111,1100000100,1100101001,1100110010,1101000010,1101010000,1101011110,1101101110,1110100110,1110111101,1111000011,1111001001,1111001100,1111001111,1111011011,1111110001
0000000001,342,14,0,0,0,0,0,0,14,12,0,0,0,0,0,0,0,52,0,14,0,0,0,14,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000100011,152,130,19,0,0,10,0,0,0,29,0,0,0,0,0,0,0,84,0,0,0,0,0,24,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000100110,93,42,58,0,0,13,0,5,18,0,0,0,19,0,0,0,0,180,6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,11,0,0,15,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
0001001000,249,0,0,40,0,43,0,0,0,0,0,0,0,0,12,0,0,77,13,0,0,0,0,0,0,5,0,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001011111,62,0,0,0,77,0,0,0,0,0,5,0,9,0,0,0,0,218,0,0,0,0,0,0,0,73,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
0001100000,214,31,2,24,0,88,7,9,11,0,0,0,0,0,7,0,0,18,0,0,0,0,0,18,0,16,11,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001100101,143,11,10,0,7,13,22,13,0,0,0,0,0,0,0,14,0,194,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,12,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001110100,110,16,12,0,12,27,18,50,0,0,0,0,11,0,0,0,15,75,0,0,22,0,0,29,17,12,9,0,0,0,0,0,0,13,0,0,0,0,0,0,37,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,261,11,0,15,0,7,0,0,70,9,0,0,0,0,0,0,0,30,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21,0,0,17,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010000011,138,56,0,0,0,0,0,0,58,56,26,5,0,0,0,0,0,78,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010001111,71,15,0,0,47,0,0,0,15,8,109,15,5,0,0,0,0,178,0,0,0,0,0,0,0,9,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010011011,143,11,0,0,5,0,0,0,16,31,64,41,20,9,0,0,0,43,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,34,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010111110,55,10,13,0,0,0,0,16,16,0,18,12,86,0,0,0,11,115,24,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,7,0,15,34,14,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
