,0000001011,0000010011,0000010110,0000011000,0000011101,0000101100,0000110000,0000111001,0000111110,0001000110,0001001100,0001011011,0001101000,0001110010,0010000110,0010011100,0010100000,0010100101,0010101011,0010110010,0011001111,0011010000,0011101001,0011110011,0100000000,0100000111,0100011100,0100100001,0100101110,0101000101,0101011010,0101101011,0101110111,0110000101,0110001010,0110010111,0110100011,0110101111,0110110110,0110111010,0111000000,0111000110,0111001011,0111011101,0111100001,0111100100,0111101000,1000000010,1000100001,1000100111,1001001111,1001010100,1001010111,1001100110,1001111011,1010001001,1010010001,1010011111,1010101100,1010111000,1011000110,1011011011,1011011110,1011101110,1011110100,1100000110,1100001111,1100010001,1100010010,1100011011,1100011101,1100100010,1100101000,1101000011,1101001000,1101011001,1101011111,1101100101,1101101010,1101101100,1101101111,1101110001,1101111110,1110010110,1110100111,1110101101,1110110000,1111000111,1111001010,1111001101,1111100011,1111100110,1111110111,1111111101
0000001011,269,23,9,0,0,0,0,21,0,0,0,13,10,0,0,0,0,0,10,0,10,0,0,0,0,13,0,0,10,8,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000010011,96,164,13,0,0,0,11,25,0,0,0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,84,0,11,0,14,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000010110,12,75,209,0,0,0,7,0,9,11,0,0,0,0,19,0,0,0,0,18,0,0,0,0,0,11,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000011000,48,61,21,76,10,15,21,25,11,0,10,13,12,0,0,16,11,0,0,0,0,0,0,0,17,0,11,0,8,0,16,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,16,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000011101,73,101,17,11,59,12,0,35,0,0,12,13,0,0,0,10,0,6,0,0,0,0,0,0,24,0,9,0,11,17,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,13,0,14,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000101100,52,0,79,25,10,31,0,0,11,0,20,0,13,0,0,15,11,58,0,0,7,0,0,0,9,0,7,0,24,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000110000,18,115,42,23,0,12,58,31,11,0,0,0,12,14,0,0,23,28,0,10,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6,11,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
0000111001,88,60,0,30,53,10,23,111,6,0,0,16,21,0,0,0,0,15,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,13,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111110,8,13,141,16,11,25,13,9,88,0,11,0,0,12,0,0,0,0,13,13,0,0,0,0,0,0,19,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
