,0000000010,0000000101,0000001001,0000010000,0000011101,0000101011,0000101101,0000110101,0000110110,0000111000,0001001000,0001001011,0001011010,0001100110,0001101001,0001111101,0001111110,0010001110,0010100100,0010110111,0011000000,0011000110,0011011101,0011011110,0011101010,0011101101,0011110101,0100000011,0100001000,0100010010,0100100001,0100110111,0100111001,0100111110,0101000101,0101010110,0101011100,0101100111,0101110001,0110000000,0110001001,0110010100,0110100010,0110111010,0110111111,0111001111,0111011011,0111100011,0111100110,0111101001,0111110010,0111111110,1000010011,1000100011,1000100101,1000101111,1000110111,1000111110,1001000111,1001001001,1001010001,1001011000,1001011111,1001101000,1001110011,1001110100,1001111001,1010000101,1010001000,1010010100,1010101101,1011000011,1011001100,1011110010,1011110111,1100000110,1100001011,1100101101,1100101110,1100110100,1100111000,1101000001,1101011001,1101100010,1101101100,1101111110,1110001101,1110010000,1110010110,1110011010,1110101000,1110101111,1110111011,1110111110,1111000100,1111001000,1111001110,1111010010,1111010101,1111011100,1111100000,1111101010,1111101101,1111110001,1111110100,1111111000
0000000010,367,14,12,11,0,0,0,0,0,0,0,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000101,113,223,26,0,15,0,10,16,0,0,0,10,0,0,0,0,0,0,25,0,12,0,0,0,0,0,0,0,9,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000001001,97,48,170,9,18,17,5,0,0,11,10,23,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,28,0,0,0,0,0,12,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000010000,204,41,9,85,0,0,0,12,0,19,13,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,6,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000011101,84,119,62,19,101,0,13,12,0,0,0,0,0,0,0,14,0,0,0,0,0,0,12,0,0,0,0,23,0,0,0,0,0,0,15,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000101011,115,64,91,0,10,49,11,12,0,14,0,16,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,14,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
0000101101,49,116,82,0,48,10,21,6,0,44,0,0,0,0,8,10,0,0,11,0,0,0,0,0,0,10,0,0,11,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000110101,44,177,22,9,43,0,5,83,6,8,0,0,0,0,0,14,0,0,17,9,0,0,0,0,0,0,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,7,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000110110,124,71,0,12,0,0,0,43,35,17,0,0,0,19,0,0,9,0,7,24,0,0,0,0,0,0,0,0,0,44,0,9,0,22,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,14,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111000,104,0,46,42,28,11,0,10,13,138,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,0,0,12,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
