,0000110011,0000111101,0001000011,0001001111,0001011011,0100110010,0101100010,0101101101,0111110010,1000110100,1001000100,1001011000,1001011101,1101101110,1110001110,1111011000,1111110100
0000110011,165,0,9,0,0,70,0,0,0,6,0,0,0,0,0,0,0
0000111101,108,49,0,5,0,75,0,0,0,8,0,0,5,0,0,0,0
0001000011,56,0,166,2,3,0,7,0,0,0,10,6,0,0,0,0,0
0001001111,56,0,74,95,7,0,0,0,0,0,0,8,10,0,0,0,0
0001011011,71,0,59,28,22,29,0,0,0,0,0,31,10,0,0,0,0
0100110010,60,0,0,0,0,179,4,0,4,0,0,0,0,0,0,0,3
0101100010,20,0,70,10,0,85,46,0,7,0,0,6,0,6,0,0,0
0101101101,42,24,34,59,0,19,19,7,0,0,9,24,13,0,0,0,0
0111110010,17,0,20,0,4,100,42,0,27,0,0,0,0,0,0,21,19
1000110100,37,6,0,0,0,77,0,0,0,117,9,0,0,0,0,0,4
1001000100,9,0,69,6,0,8,0,0,0,42,96,16,4,0,0,0,0
1001011000,0,0,25,1,7,41,0,0,0,59,25,82,3,0,0,7,0
1001011101,17,30,27,52,9,0,0,0,0,32,19,42,22,0,0,0,0
1101101110,30,0,18,63,0,46,16,5,0,15,32,3,0,4,18,0,0
1110001110,58,0,0,32,0,38,0,0,0,54,0,0,0,4,61,3,0
1111011000,0,0,5,0,0,23,8,0,0,82,10,73,5,0,0,36,8
1111110100,6,0,6,0,0,23,21,0,29,69,32,0,11,2,4,9,38
