,0000001111,0000010000,0000010011,0000100110,0000110001,0000110010,0000111101,0001000100,0001011001,0001011110,0001100000,0010000001,0010000110,0010011000,0010100011,0010101100,0010110000,0011011101,0011101001,0011110101,0011111011,0011111100,0100000000,0100111000,0100111011,0101000001,0101010110,0101101001,0101101110,0101110100,0110001000,0110001101,0110010100,0110011001,0110011010,0110011111,0110100111,0110110011,0110111101,0111001011,0111100000,0111100110,0111110010,0111110111,1000000001,1000101100,1000111001,1001001010,1001001111,1001010001,1001011011,1001110111,1001111110,1010000011,1010000100,1010001101,1010010010,1010101010,1010111011,1011100000,1100010010,1100010100,1100101011,1100110110,1101000011,1101000110,1101001001,1101011101,1101011110,1101100000,1101100101,1101111010,1110001001,1110010001,1110100010,1110110101,1110111001,1110111010,1110111111,1111000010,1111000101,1111001111,1111011001,1111011010,1111100011,1111101001
0000001111,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000010000,163,122,23,0,10,9,0,9,0,0,24,10,0,16,0,0,9,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,13,0,0,0,0,0,0,5,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000010011,258,32,55,0,13,11,0,0,0,0,0,15,0,0,6,0,0,0,0,0,22,0,33,0,21,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000100110,280,13,0,69,0,7,0,0,0,0,62,0,22,0,0,13,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000110001,173,47,54,0,45,12,12,0,13,0,20,19,0,0,12,0,9,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,18,0,0,0,0,10,0,0,0,0,0,0,14,0,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000110010,119,73,35,14,12,75,0,0,0,0,53,0,16,0,9,0,9,0,0,0,0,0,4,0,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,12,14,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111101,259,12,0,0,8,0,36,0,23,0,0,14,0,0,0,11,0,7,0,6,0,0,0,21,16,0,0,0,0,0,0,0,17,0,0,0,0,0,15,0,0,0,0,0,9,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001000100,201,21,0,21,0,0,0,105,0,0,40,0,10,0,0,0,0,11,0,24,0,0,48,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001011001,210,7,15,0,10,0,10,0,104,0,0,0,0,26,0,0,0,8,0,0,19,0,0,0,11,21,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
