,Fitness,Location,Maxima
0000000000,0.5616923960354268,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.5253718112177521,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,0.5140432902971244,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,0.5675798203583384,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",1
0000000100,0.5794305859209421,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.6631795983883061,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",1
0000000110,0.4712252901814666,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.35050738852349084,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.4911451862040906,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.5023970317633543,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,0.5806775800992734,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",1
0000001011,0.28074338487834116,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.5490826193197113,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,0.5022246843699597,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,0.5732426077580923,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,0.6215730250945025,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,0.3540000854427091,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,0.6386348972870163,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.41051198411287526,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.5385633640875338,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.6165188815200292,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",1
0000010101,0.4771480211667464,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.37603028248170195,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.46399713313898755,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.4474283154946145,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.5989756203201182,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.4402926197089302,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.4291702128408571,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.5200463997228613,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,0.5981378205301715,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.4278419957483952,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,0.7306563617444037,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",1
0000100000,0.7266654012623222,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",1
0000100001,0.647225026840289,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,0.48059664255940504,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",0
0000100011,0.3603756800129735,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",0
0000100100,0.37363877079352875,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,0.4601091326737471,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,0.4717573698872332,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",0
0000100111,0.603884029821553,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,0.3620006962526236,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,0.3944835972925453,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,0.5532545995426339,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",0
0000101011,0.34704289561369284,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",0
0000101100,0.5719139637239193,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",0
0000101101,0.43309140597312723,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",0
0000101110,0.5265515678104069,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",0
0000101111,0.5281970380858142,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",0
0000110000,0.6149807497647592,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",0
0000110001,0.6815228594350421,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 1)",1
0000110010,0.40525509406342686,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 0)",0
0000110011,0.48359609178273055,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 1)",0
0000110100,0.4662770269928197,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 0)",0
0000110101,0.48910773935529733,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 1)",0
0000110110,0.5447666331321137,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 0)",0
0000110111,0.4180282190578333,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 1)",0
0000111000,0.5499706449327656,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 0)",0
0000111001,0.6092806321281963,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 1)",0
0000111010,0.43543892117402105,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 0)",0
0000111011,0.4072683941618219,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 1)",0
0000111100,0.46311640020455885,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 0)",0
0000111101,0.48745601133211736,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 1)",0
0000111110,0.4280589770732786,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 0)",0
0000111111,0.5230785117919494,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 1)",0
0001000000,0.4127685697326111,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",0
0001000001,0.4059939995559385,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 1)",0
0001000010,0.5837122280023677,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 0)",0
0001000011,0.5203708610134103,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 1)",0
0001000100,0.7055431934029973,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 0)",1
0001000101,0.4882043656121473,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 1)",0
0001000110,0.531550743117209,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 0)",0
0001000111,0.6603636541242125,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 1)",1
0001001000,0.6244185010198054,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0)",0
0001001001,0.44442217040968135,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 1)",0
0001001010,0.5358675574965469,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 0)",0
0001001011,0.47662666479238186,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 1)",0
0001001100,0.6212927531384489,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 0)",0
0001001101,0.585262668920939,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 1)",0
0001001110,0.5557039306799384,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 0)",0
0001001111,0.462451385590274,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 1)",0
0001010000,0.5983563501897328,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 0)",1
0001010001,0.46485755781984917,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 1)",0
0001010010,0.4413804579795492,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 0)",0
0001010011,0.4598904575550491,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 1)",0
0001010100,0.44685068033268055,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 0)",0
0001010101,0.6546715715367211,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 1)",1
0001010110,0.4878901567952898,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 0)",0
0001010111,0.5895536048002219,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 1)",0
0001011000,0.39026567475366175,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 0)",0
0001011001,0.3933875439364343,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 1)",0
0001011010,0.3514894516332867,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 0)",0
0001011011,0.556165558523207,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 1)",1
0001011100,0.5962316883374122,"(0, 0, 0, 1, 0, 1, 1, 1, 0, 0)",0
0001011101,0.5512123716248226,"(0, 0, 0, 1, 0, 1, 1, 1, 0, 1)",0
0001011110,0.5527396548469193,"(0, 0, 0, 1, 0, 1, 1, 1, 1, 0)",0
0001011111,0.47761797289235924,"(0, 0, 0, 1, 0, 1, 1, 1, 1, 1)",0
0001100000,0.4046652366615633,"(0, 0, 0, 1, 1, 0, 0, 0, 0, 0)",0
0001100001,0.43518054155236296,"(0, 0, 0, 1, 1, 0, 0, 0, 0, 1)",0
0001100010,0.7146392735373859,"(0, 0, 0, 1, 1, 0, 0, 0, 1, 0)",1
0001100011,0.46822787508150104,"(0, 0, 0, 1, 1, 0, 0, 0, 1, 1)",0
0001100100,0.39857489093920123,"(0, 0, 0, 1, 1, 0, 0, 1, 0, 0)",0
0001100101,0.5168550225966032,"(0, 0, 0, 1, 1, 0, 0, 1, 0, 1)",0
0001100110,0.32990316595899005,"(0, 0, 0, 1, 1, 0, 0, 1, 1, 0)",0
0001100111,0.42304929946517794,"(0, 0, 0, 1, 1, 0, 0, 1, 1, 1)",0
0001101000,0.49115654371962847,"(0, 0, 0, 1, 1, 0, 1, 0, 0, 0)",0
0001101001,0.543595978502707,"(0, 0, 0, 1, 1, 0, 1, 0, 0, 1)",0
0001101010,0.6336712175219887,"(0, 0, 0, 1, 1, 0, 1, 0, 1, 0)",0
0001101011,0.5253344481483654,"(0, 0, 0, 1, 1, 0, 1, 0, 1, 1)",0
0001101100,0.6948692334464026,"(0, 0, 0, 1, 1, 0, 1, 1, 0, 0)",1
0001101101,0.558797332415989,"(0, 0, 0, 1, 1, 0, 1, 1, 0, 1)",0
0001101110,0.5122710531587045,"(0, 0, 0, 1, 1, 0, 1, 1, 1, 0)",0
0001101111,0.43194094682669204,"(0, 0, 0, 1, 1, 0, 1, 1, 1, 1)",0
0001110000,0.47902511860309194,"(0, 0, 0, 1, 1, 1, 0, 0, 0, 0)",0
0001110001,0.5507158503401812,"(0, 0, 0, 1, 1, 1, 0, 0, 0, 1)",0
0001110010,0.278338524078273,"(0, 0, 0, 1, 1, 1, 0, 0, 1, 0)",0
0001110011,0.4503377351474482,"(0, 0, 0, 1, 1, 1, 0, 0, 1, 1)",0
0001110100,0.48041974667745685,"(0, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0
0001110101,0.4753751514115219,"(0, 0, 0, 1, 1, 1, 0, 1, 0, 1)",0
0001110110,0.6268789876587744,"(0, 0, 0, 1, 1, 1, 0, 1, 1, 0)",1
0001110111,0.4600019990021966,"(0, 0, 0, 1, 1, 1, 0, 1, 1, 1)",0
0001111000,0.2604215907977976,"(0, 0, 0, 1, 1, 1, 1, 0, 0, 0)",0
0001111001,0.32055825744452904,"(0, 0, 0, 1, 1, 1, 1, 0, 0, 1)",0
0001111010,0.41919697235588094,"(0, 0, 0, 1, 1, 1, 1, 0, 1, 0)",0
0001111011,0.4666646210624544,"(0, 0, 0, 1, 1, 1, 1, 0, 1, 1)",0
0001111100,0.6328389218500263,"(0, 0, 0, 1, 1, 1, 1, 1, 0, 0)",0
0001111101,0.5762233609648193,"(0, 0, 0, 1, 1, 1, 1, 1, 0, 1)",0
0001111110,0.5884240549707684,"(0, 0, 0, 1, 1, 1, 1, 1, 1, 0)",0
0001111111,0.44481140509705186,"(0, 0, 0, 1, 1, 1, 1, 1, 1, 1)",0
0010000000,0.4572073852610899,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0)",0
0010000001,0.481260878668342,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 1)",0
0010000010,0.4784801764877756,"(0, 0, 1, 0, 0, 0, 0, 0, 1, 0)",0
