,0000000011,0000100010,0000101001,0000101100,0001010100,0001011010,0001111110,0010011011,0010100011,0010100100,0010110000,0011011100,0011011111,0011101110,0100000100,0100001110,0100010010,0100011100,0100110000,0101010110,0101101010,0101110100,0110000010,0110000101,0110011001,0110110100,0111110001,0111110010,1000000100,1000001101,1000010001,1000010010,1000011100,1001000010,1001000111,1001011101,1001110011,1001110101,1001111000,1010100101,1010101010,1010101111,1010110011,1010111001,1011010010,1011011001,1011110001,1011110100,1100000010,1100000101,1100101010,1101011011,1101100101,1101110111,1110010111,1110100100,1110111010,1111000011,1111000101,1111011010,1111011100,1111100110,1111101011,1111110011,1111110101
0000000011,338,16,0,110,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000100010,143,48,0,155,9,0,0,0,7,10,15,0,0,0,0,14,23,0,0,0,27,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
0000101001,83,15,29,168,0,0,0,18,10,19,0,0,0,0,0,0,0,0,0,0,17,0,0,11,0,0,0,0,0,9,0,62,0,0,0,0,0,0,0,10,0,33,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000101100,0,10,10,358,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,16,0,15,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001010100,34,0,0,190,152,0,0,0,0,28,0,13,0,0,7,0,11,0,0,14,0,18,0,0,0,0,0,0,11,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001011010,11,0,0,65,31,16,13,0,0,0,0,10,0,0,0,20,45,0,0,20,12,0,0,0,0,0,24,11,0,0,0,200,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001111110,9,0,0,150,51,13,26,0,0,7,0,10,0,14,0,0,0,0,0,22,27,0,0,0,0,0,0,14,0,8,0,92,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010011011,144,0,0,53,0,8,0,28,11,0,0,0,14,0,0,0,22,0,0,0,0,0,0,0,13,0,12,22,0,10,4,139,0,0,0,0,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010100011,217,32,13,44,0,0,0,0,56,28,13,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,16,10,0,0,0,15,0,0,0,0,0,0,0,8,0,14,17,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0010100100,31,10,0,238,14,0,0,0,9,105,23,0,0,0,13,0,0,0,0,0,0,0,0,0,0,10,0,0,21,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
0010110000,26,12,0,155,39,0,0,16,0,33,51,0,0,0,0,0,20,0,9,0,0,0,0,0,27,9,23,14,0,0,9,45,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
