,0000000010,0000000100,0000011001,0000110011,0000110101,0001001011,0001011000,0001100101,0010011101,0010110001,0010110111,0010111110,0011000011,0011011111,0011110011,0100001110,0100010010,0101001000,0101010111,0101011110,0101100010,0101101100,0101101111,0101110101,0110010011,0110010110,0110100111,0110101011,0110101100,0111011010,0111011100,0111101110,0111110110,0111111111,1000000011,1000011011,1000011110,1000100101,1000110100,1000110111,1001010101,1001011111,1001101000,1001101110,1001110000,1010010010,1011010110,1011100001,1011100110,1011111110,1100000110,1100100100,1100110000,1101100000,1101110010,1101111000,1110010100,1110110010,1111001010,1111010011,1111011000,1111110100
0000000010,231,155,0,8,0,17,0,0,0,0,0,0,0,0,0,0,14,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,0,0,11,0,0,0,0,0,0,0,0,0,12,0,0,0,9,0,0,0,0,0,0,0
0000000100,106,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000011001,7,248,127,15,0,0,11,0,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000110011,48,217,9,103,15,8,0,0,0,24,12,0,0,0,8,0,0,0,0,0,9,0,0,0,27,0,0,0,0,0,0,0,0,0,0,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000110101,12,279,13,30,32,0,0,33,4,18,13,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001001011,55,267,11,0,0,70,0,8,0,0,0,0,13,0,0,0,0,9,0,9,9,0,34,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001011000,42,229,71,0,0,0,43,0,0,0,0,0,0,0,0,0,0,26,0,14,11,0,0,0,0,13,0,0,0,0,0,0,0,0,0,11,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,6,0
0001100101,22,245,0,0,37,8,0,137,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010011101,0,288,74,0,11,0,0,17,39,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,15,7,0,0,0,0,17,0,0,10,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010110001,0,173,51,63,22,0,0,11,10,51,14,0,0,0,7,0,0,0,0,0,12,0,0,13,24,22,0,0,0,0,0,0,0,0,0,0,0,0,11,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010110111,38,205,0,36,27,0,0,0,12,24,28,13,0,14,11,0,0,0,0,0,0,0,0,17,26,18,17,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010111110,102,161,9,10,0,0,0,0,10,0,4,92,0,22,0,8,0,0,0,0,0,0,14,0,0,21,0,0,0,0,0,0,0,11,0,0,13,0,0,0,0,0,0,12,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
