,Fitness,Location,Maxima
0000000000,0.552089935569,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.461962420512,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,0.409253526296,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,0.270724141872,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,0.417105898956,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.375050714968,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.377944186021,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.351741602218,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.494888099482,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.509792143181,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,0.431141657392,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,0.350551743114,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.615773341411,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,0.512004566108,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,0.44630579919,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,0.385148096169,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,0.515332221983,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,0.425204706926,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.494659728845,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.356130344421,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.544975062463,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,0.502919878475,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.501303594469,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.475101010666,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.572802751329,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.587706795028,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.506523682274,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.425933767996,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.610071251164,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,0.50630247586,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.53422556277,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,0.473067859749,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,0.62929602843,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,0.539168513372,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,0.486459619156,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",0
0000100011,0.347930234733,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",0
0000100100,0.566406403142,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,0.524351219154,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,0.527244690207,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",0
0000100111,0.501042106404,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,0.607825126249,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,0.622729169948,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,0.544078684159,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",0
