,0000000001,0000001101,0001101101,0010010010,0010011100,0011000000,0100000000,0100110010,0100110100,1000000100,1000001110,1000110100,1101010010,1101101110,1111000001
0000000001,238,9,0,0,0,0,1,0,0,2,0,0,0,0,0
0000001101,116,114,4,0,0,0,4,0,0,4,8,0,0,0,0
0001101101,126,75,41,0,0,7,1,0,0,0,0,0,0,0,0
0010010010,106,0,0,128,0,6,0,10,0,0,0,0,0,0,0
0010011100,102,46,0,59,24,7,9,0,0,3,0,0,0,0,0
0011000000,126,0,0,32,0,87,5,0,0,0,0,0,0,0,0
0100000000,120,0,0,4,0,7,106,10,0,3,0,0,0,0,0
0100110010,58,0,0,47,0,0,78,59,6,0,0,0,2,0,0
0100110100,81,7,0,5,6,0,113,19,12,0,0,7,0,0,0
1000000100,140,4,0,0,0,8,43,0,0,46,5,4,0,0,0
1000001110,102,34,0,11,0,8,35,0,0,26,24,0,0,10,0
1000110100,97,8,0,39,11,0,19,3,25,42,6,0,0,0,0
1101010010,44,0,0,64,0,0,54,33,0,0,0,0,53,2,0
1101101110,42,3,12,0,0,8,91,9,0,0,7,0,37,41,0
1111000001,158,0,0,7,0,21,10,0,0,0,0,0,16,0,38
