,0001011110,0101010000,0111011111,1000100011,1001011111,1001101101,1100001101,1100010011,1100010100,1100011111,1111000011,1111001101
0001011110,153,0,0,0,5,0,0,92,0,0,0,0
0101010000,58,21,0,0,0,0,0,160,0,0,11,0
0111011111,93,0,7,0,12,0,0,47,0,7,36,48
1000100011,5,0,0,151,0,3,0,91,0,0,0,0
1001011111,82,0,4,6,46,4,0,102,0,6,0,0
1001101101,66,0,0,51,46,54,0,26,0,0,0,7
1100001101,49,0,0,13,24,41,61,45,0,6,0,11
1100010011,0,10,0,3,0,0,8,214,0,7,8,0
1100010100,50,19,0,0,0,11,46,124,0,0,0,0
1100011111,58,0,7,6,36,10,21,106,0,0,0,6
1111000011,6,0,0,47,0,0,0,119,0,0,66,12
1111001101,55,0,7,0,29,27,22,39,0,0,19,52
