,0000000100,0000011111,0000110000,0000110111,0000111011,0001010001,0001100100,0001101000,0001101101,0010000011,0010001010,0010010111,0010011110,0010100101,0010101110,0010111001,0010111010,0011000010,0011001100,0011010110,0011011010,0011100111,0011101011,0011110101,0100001000,0100010110,0100100000,0101000011,0101001100,0101010101,0101011111,0101100010,0101110001,0101111000,0110000001,0110010100,0110011001,0110100111,0110101101,0110110001,0110111000,0110111011,0110111110,0111001111,0111011100,0111110010,1000010011,1000011010,1000100001,1000100010,1000111001,1000111100,1001001000,1001011101,1001100111,1001101001,1001110000,1001110101,1001111011,1010000110,1010001100,1010010010,1010110001,1010111110,1011000000,1011001111,1011010011,1011100101,1011100110,1011111101,1100000011,1100001101,1100001110,1100010001,1100011111,1100101000,1100110000,1100110101,1101000110,1101001010,1101010000,1101011001,1101110100,1101111101,1101111110,1110001000,1110001011,1110010000,1110010110,1110011100,1110100100,1111010001,1111010100,1111011011,1111100011,1111101001,1111101100,1111101111,1111110111
0000000100,421,0,0,4,14,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000011111,182,49,0,26,33,0,0,0,0,10,0,11,17,0,0,0,0,0,0,13,0,0,0,0,11,0,0,0,0,0,29,0,0,0,0,15,0,5,0,0,0,0,0,0,0,0,5,34,0,0,0,12,0,18,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000110000,183,0,36,13,25,32,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,14,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,26,28,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000110111,190,49,0,137,21,4,0,0,0,9,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111011,115,41,0,15,91,20,0,7,0,30,0,0,0,0,0,7,16,0,0,0,0,0,0,0,9,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,14,71,0,0,6,0,0,0,0,0,0,0,15,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001010001,202,0,12,9,0,119,0,25,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,0,5,0,25,0,0,0,0,0,0,0,0,0,0,0,25,14,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001100100,247,0,13,56,9,0,54,8,13,0,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,25,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001101000,140,0,10,21,72,0,38,91,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,30,0,0,13,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001101101,158,14,0,32,40,0,56,60,24,0,0,0,0,14,0,0,0,0,0,0,0,8,0,0,0,0,0,15,0,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
