,0000101101,0000110011,0001001110,0001010100,0001100011,0010010010,0010100000,0010101011,0011001101,0100011010,0100101000,0100110100,0100111001,0101000001,0101110000,0110000100,0110011111,0110110101,0111000010,0111011010,0111100001,0111100110,0111111110,1000000101,1000011001,1000100000,1001010011,1001010101,1001110001,1010101010,1011100001,1011100010,1011111001,1011111010,1100010110,1100101010,1101000010,1101001110,1101100011,1101101100,1101110111,1110001101,1110001110,1110010010,1110011100,1110100000,1110110001,1111010011,1111100101,1111110010
0000101101,85,55,6,33,13,0,0,0,0,0,5,0,14,0,0,0,13,0,0,0,0,0,0,18,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000110011,6,111,0,0,68,16,0,0,0,9,8,0,8,0,0,0,6,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001001110,5,0,74,41,48,0,0,0,0,23,0,0,0,0,0,0,17,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
0001010100,27,19,0,106,48,10,0,0,0,6,0,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001100011,7,125,5,0,102,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
0010010010,0,6,0,6,92,69,18,0,0,28,0,0,11,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
0010100000,30,63,0,6,38,13,67,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
0010101011,3,117,9,0,56,0,13,0,0,7,16,0,7,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011001101,31,4,34,62,29,3,14,0,27,0,0,0,4,0,0,0,24,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0100011010,0,0,0,4,31,4,9,0,0,88,9,0,37,0,0,0,9,0,50,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0100101000,29,34,0,19,35,0,38,0,0,24,11,8,11,0,0,0,0,0,10,0,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0100110100,68,35,0,29,11,7,7,0,0,12,0,32,7,0,12,0,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
0100111001,34,59,0,0,6,0,6,0,0,29,19,4,66,0,0,0,16,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0101000001,5,32,7,30,76,5,1,0,0,0,0,0,5,30,0,0,0,0,30,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0
0101110000,11,51,0,31,32,0,8,0,0,21,0,10,10,6,12,0,0,0,14,0,2,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,12
0110000100,20,0,0,49,10,10,23,0,0,0,0,29,0,0,0,27,19,0,47,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0
