,0000000011,0010000010,0010011001,0010011010,0010110010,0101110001,0101111101,1001010111,1010011100,1010011111,1010110000,1100000000,1100000011,1100011100,1101110000,1101110111,1101111100
0000000011,409,12,7,0,0,31,0,9,0,16,0,0,16,0,0,0,0
0010000010,176,285,0,9,21,0,0,0,9,0,0,0,0,0,0,0,0
0010011001,102,50,288,13,0,13,0,13,13,8,0,0,0,0,0,0,0
0010011010,51,137,172,99,13,0,0,0,20,8,0,0,0,0,0,0,0
0010110010,66,146,33,41,72,102,0,0,0,27,13,0,0,0,0,0,0
0101110001,42,0,109,0,0,251,8,78,0,0,0,0,0,0,12,0,0
0101111101,34,0,269,0,0,94,9,22,0,40,0,0,0,8,0,12,12
1001010111,106,0,18,0,0,19,0,180,22,137,0,0,0,0,0,18,0
1010011100,8,22,129,26,0,0,0,0,279,20,0,0,0,16,0,0,0
1010011111,44,14,106,30,0,0,0,8,85,213,0,0,0,0,0,0,0
1010110000,28,69,19,5,60,68,0,0,181,12,0,0,0,0,58,0,0
1100000000,173,23,0,0,0,0,0,0,135,0,0,111,14,24,20,0,0
1100000011,338,10,0,0,0,11,0,16,0,34,0,75,16,0,0,0,0
1100011100,22,0,105,0,0,0,0,0,179,11,0,112,0,67,0,0,4
1101110000,0,0,38,0,0,162,0,32,42,0,10,69,0,53,83,0,11
1101110111,15,0,12,0,0,208,10,108,0,97,0,25,8,0,6,11,0
1101111100,0,0,125,0,0,53,19,0,114,0,0,65,0,82,34,8,0
