,0000000110,0000001001,0001011001,0001111010,0010000010,0010100011,0010111111,0011000110,0011001001,0011001010,0011001100,0011100000,0011110001,0100001111,0101001001,0101010010,0101100001,0101100110,0101110011,0101111001,0110001011,0110100001,0110110110,0111000011,0111010000,0111101001,0111101010,1000000000,1000001111,1000011000,1000011011,1000011101,1000110101,1000111001,1001000111,1001010100,1001100000,1010000101,1010110111,1010111010,1011100100,1011101001,1011101010,1011110010,1011110101,1100000111,1100001110,1100010000,1100100001,1101001010,1101001100,1101101000,1110000011,1110000110,1110001000,1110100101,1110110011,1110110100,1110111000,1111000101,1111001011,1111100010,1111101101
0000000110,275,132,0,0,27,0,0,8,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
0000001001,25,412,8,0,0,0,0,0,14,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001011001,27,238,25,0,0,0,0,0,14,0,0,0,19,0,66,0,11,0,0,8,0,8,0,0,0,0,0,0,0,8,14,13,0,0,0,0,0,0,0,39,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001111010,157,87,0,21,20,0,0,0,0,0,0,0,0,0,0,38,0,0,0,15,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,143,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010000010,80,159,0,0,156,9,0,8,0,19,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
0010100011,9,244,0,0,65,91,0,0,19,0,0,0,13,0,0,0,24,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010111111,50,189,0,0,12,22,55,0,0,0,0,0,8,14,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,97,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011000110,125,61,0,0,42,0,0,42,0,9,17,7,7,0,20,18,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,11,27,0,0,0,7,0,0,50,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
0011001001,0,262,28,0,0,0,0,0,41,10,10,13,23,0,32,0,14,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,7,0,0
0011001010,97,94,0,9,89,0,0,24,30,14,9,9,0,0,0,13,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,18,0,0,0,19,0,0,0,0,0,0,13,0,0
0011001100,132,114,0,0,7,0,0,28,13,7,32,23,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,23,0,0,0,0,0,0,0,25,0,0,21,0,0,0,0,0,0,0,0,0
0011100000,11,112,0,0,84,11,0,10,15,0,17,76,10,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,35,11,8,10,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,9,0
0011110001,0,177,8,0,0,23,11,0,14,0,0,56,85,0,4,0,44,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,10,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0100001111,79,209,0,0,0,0,6,0,0,0,0,0,0,7,34,0,0,0,0,0,17,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,20,14,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
0101001001,0,205,30,0,0,0,0,0,42,0,0,0,0,0,143,0,17,0,0,13,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
0101010010,65,95,0,10,46,0,0,0,0,0,0,0,0,0,58,104,10,14,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,18,0,0,0,10,0,0,0,0,0,0,0,0,0,21,0,0,0,29,0,0,0,0,0,0,0,0,0
