,0000101000,0000110010,0000111111,0001001000,0001100110,0110100111,0111001000,0111001111,1000110001,1011001001,1011100110,1011110001,1011111110,1100011001,1100011111,1101100101,1101101001,1101110001,1110110001
0000101000,120,7,61,5,51,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0000110010,45,80,4,0,114,0,0,0,7,0,0,0,0,0,0,0,0,0,0
0000111111,28,2,119,0,92,0,0,0,0,5,0,0,4,0,0,0,0,0,0
0001001000,44,0,38,92,58,0,8,0,0,10,0,0,0,0,0,0,0,0,0
0001100110,7,4,9,0,225,0,0,0,0,0,5,0,0,0,0,0,0,0,0
0110100111,4,9,7,0,205,5,0,6,0,7,0,0,7,0,0,0,0,0,0
0111001000,46,0,77,47,26,0,36,5,0,13,0,0,0,0,0,0,0,0,0
0111001111,6,0,82,31,78,0,26,10,0,10,0,0,7,0,0,0,0,0,0
1000110001,10,55,8,0,57,0,0,0,17,82,0,7,0,1,0,0,0,7,6
1011001001,2,0,12,31,3,0,7,0,0,195,0,0,0,0,0,0,0,0,0
1011100110,0,0,0,0,158,0,0,6,0,38,47,0,1,0,0,0,0,0,0
1011110001,9,35,0,0,25,0,0,0,12,112,23,15,1,0,0,0,0,8,10
1011111110,20,0,86,0,44,0,0,0,0,47,42,0,11,0,0,0,0,0,0
1100011001,10,0,56,12,22,0,0,0,8,95,0,0,0,34,8,0,5,0,0
1100011111,0,0,117,0,57,0,0,0,0,36,0,0,8,32,0,0,0,0,0
1101100101,0,0,17,0,133,0,0,0,0,67,13,0,0,5,0,0,9,6,0
1101101001,68,0,13,11,15,0,0,0,0,121,0,0,0,8,0,9,0,5,0
1101110001,10,45,8,0,55,0,0,0,11,74,4,17,0,6,0,8,6,0,6
1110110001,15,35,7,0,51,3,0,0,18,85,7,18,5,3,0,0,0,3,0
