,0000001010,0000010110,0000100011,0000100100,0000101111,0000110001,0000111010,0001000000,0001010111,0001011110,0001100010,0001101000,0001110011,0001111111,0010001011,0010011001,0010011111,0010100000,0010101001,0010101010,0011000110,0011001010,0011110010,0011111110,0100000010,0100001001,0100001110,0100111001,0100111100,0100111111,0101000001,0101010000,0101011100,0101100111,0101101011,0101110010,0101111000,0110000000,0110000011,0110010010,0110011011,0110101011,0110110000,0111000010,0111001001,0111010110,0111011010,0111101110,1000010001,1000011101,1000100110,1000101010,1000111111,1001000011,1001001000,1001101100,1001111000,1010000001,1010000100,1010001111,1010010110,1010101011,1010110001,1010111000,1011010001,1011010010,1011010111,1011011011,1011011101,1011100010,1011100111,1011101101,1100010100,1100100000,1100100101,1100101100,1100111011,1100111101,1101001101,1101011110,1110000111,1110011001,1110011111,1110110100,1111010011,1111011100,1111100100,1111101010,1111110010,1111110101,1111111011,1111111110
0000001010,188,12,14,24,63,0,13,0,0,0,0,0,0,0,9,0,0,0,0,9,0,9,0,0,24,12,17,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,31,13,0,0,28,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000010110,39,130,0,13,111,0,0,0,10,19,0,0,0,0,0,0,25,0,0,0,0,0,0,0,10,0,12,0,0,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,26,27,0,0,0,0,0,0,0,21,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000100011,28,15,61,48,177,19,0,0,12,0,16,0,6,0,14,0,0,0,0,0,0,0,0,0,12,0,0,0,0,11,0,0,0,0,34,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000100100,18,9,10,147,148,23,0,0,0,0,0,13,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,13,12,0,0,0,9,7,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000101111,33,10,42,8,198,0,0,0,16,0,0,0,0,14,10,0,24,0,0,16,0,0,0,0,0,0,24,0,0,17,0,0,0,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,11,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000110001,0,22,9,15,196,76,0,0,0,0,0,0,13,0,0,7,0,0,0,0,0,0,12,0,0,0,0,17,0,18,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,35,31,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
0000111010,97,89,11,15,21,43,17,0,0,8,0,0,0,0,0,0,7,0,0,22,0,15,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,9,0,18,0,0,0,0,0,0,65,0,15,10,0,0,0,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001000000,64,22,0,36,159,12,0,17,0,0,20,15,0,0,0,0,0,0,0,0,0,9,10,0,12,0,0,0,0,0,12,29,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,16,18,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001010111,0,41,0,0,179,0,0,0,87,8,0,0,14,6,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001011110,83,72,0,0,42,0,11,0,14,44,0,12,0,9,0,0,53,0,0,0,9,11,0,8,0,0,10,0,0,0,0,28,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
