,0000001111,0000010100,0000010111,0000011010,0000110101,0001000001,0001000110,0001001000,0001010101,0001011001,0001011110,0001110000,0001111100,0010000111,0010001011,0010010110,0010110000,0011011101,0011100101,0011111001,0100000000,0100001011,0100001110,0100010010,0100110001,0101000100,0101010011,0101011010,0101011100,0101101110,0101110101,0101111001,0110010011,0110010101,0110011010,0110011111,0110100100,0110111011,0111001011,0111010000,0111100111,0111101010,0111111000,1000010001,1000100101,1000111000,1000111011,1001001101,1001100111,1001111111,1010001000,1010011111,1010100000,1010101111,1011010000,1011100100,1011101001,1011111110,1100001010,1100011001,1100011111,1100110101,1101011110,1110000101,1110010001,1110010110,1110100110,1110111010,1111011010,1111110101,1111111001
0000001111,115,0,22,108,0,150,0,0,0,0,0,0,0,18,11,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,14,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000010100,0,106,13,60,9,154,10,12,10,0,0,0,0,0,0,20,0,0,0,0,9,0,0,0,0,16,0,0,0,0,0,0,0,50,11,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000010111,75,8,96,72,20,144,11,0,9,0,0,0,0,23,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000011010,15,0,0,198,0,74,0,16,0,9,19,0,0,0,0,26,0,0,0,0,9,12,19,4,0,0,0,15,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,11,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
0000110101,7,61,47,7,31,158,0,0,44,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,16,0,0,0,0,0,12,0,0,52,0,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
0001000001,0,0,0,9,0,421,0,16,11,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001000110,11,10,14,135,0,146,93,29,0,0,7,0,0,0,0,15,0,0,11,0,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001001000,0,0,0,64,0,218,0,113,0,13,0,0,0,0,0,0,0,0,28,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001010101,10,28,53,0,10,179,16,15,82,11,0,0,0,0,0,16,0,5,17,0,0,0,0,0,0,11,0,0,0,0,8,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001011001,13,0,0,20,0,221,0,35,38,63,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,11,0,0,12,0,0,0,0,0,0,0,0,27,0,0,11,10,0,0,9,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
0001011110,68,6,9,130,0,15,40,41,8,17,32,0,7,0,0,39,0,20,0,0,0,0,20,0,0,0,0,16,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
0001110000,0,70,0,88,11,133,13,6,14,7,0,25,8,0,0,0,19,0,33,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,19,0,0,0,0,0,0,0,0,11,0,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001111100,9,94,0,25,11,75,12,45,35,12,50,7,12,0,0,0,0,21,10,0,0,0,0,0,0,0,0,0,13,15,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
