,0010101000,0011001100,0011010000,0011010011,0101010110,0101111101,0101111110,1001110000,1001111110,1101010111,1101101001,1101111111,1110010111,1110101001
0010101000,218,8,0,0,0,0,0,0,0,0,7,0,0,17
0011001100,114,56,4,6,0,0,8,6,0,30,5,0,0,21
0011010000,110,27,34,4,0,0,0,11,0,64,0,0,0,0
0011010011,22,6,20,76,0,0,0,10,0,93,0,0,5,18
0101010110,0,0,12,4,45,0,5,4,0,142,0,0,9,29
0101111101,35,0,0,0,0,13,18,0,0,78,15,7,0,84
0101111110,27,0,0,0,44,15,26,0,8,47,5,6,0,72
1001110000,50,0,6,0,0,0,0,54,8,67,65,0,0,0
1001111110,12,0,0,0,7,4,45,27,10,55,64,7,0,19
1101010111,0,0,0,9,28,0,0,8,0,162,10,4,13,16
1101101001,37,0,0,0,0,3,0,5,0,17,117,0,0,71
1101111111,0,0,0,0,13,30,18,0,14,81,46,0,0,48
1110010111,15,0,0,43,4,0,0,0,0,61,0,0,71,56
1110101001,47,0,0,0,0,0,0,0,0,0,76,0,4,123
