,0000000000,0000001110,0000010110,0000011000,0001000010,0001000101,0001001100,0001010001,0001011010,0001111001,0010000101,0010001010,0010001111,0010100000,0010110011,0010110100,0011000001,0011000110,0011111111,0100000111,0100010011,0100011110,0100100001,0100100110,0100111001,0100111010,0101001000,0101100010,0101100101,0101110000,0101110111,0110001000,0110010001,0110010110,0110100011,0110101110,0110110000,0110111101,0111000010,0111000100,0111001001,0111011010,0111101010,0111110011,0111111000,1000001100,1000010101,1000110000,1000110111,1000111010,1001000110,1001010111,1001110011,1010000001,1010000110,1010101101,1010111100,1011001011,1011001110,1011010000,1011011001,1011100100,1011101001,1011101111,1011110110,1011111000,1100000110,1100011101,1100100100,1100101101,1100110001,1100110110,1101001011,1101010000,1101011111,1101100011,1101101000,1101101111,1101110100,1101111110,1110000101,1110001011,1110011010,1110100000,1110100111,1111000000,1111101101
0000000000,360,7,0,12,23,5,15,17,0,0,0,10,0,13,0,0,13,0,0,0,0,0,15,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000001110,155,138,7,17,20,0,9,0,16,0,0,23,10,0,0,0,0,26,0,12,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,13,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000010110,207,45,35,9,9,0,0,0,7,0,12,24,0,0,23,0,0,22,0,28,0,14,0,0,0,0,0,0,0,0,14,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,11,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000011000,211,29,0,133,0,0,12,29,12,11,0,27,0,10,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001000010,144,9,8,0,193,14,13,5,6,0,0,10,0,0,10,0,12,10,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001000101,201,0,0,7,21,158,12,10,0,7,11,0,0,0,0,0,24,15,0,11,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001001100,93,91,0,50,25,51,37,0,12,47,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,12,0,0,14,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
0001010001,195,0,0,16,64,57,0,108,0,11,0,0,0,0,13,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001011010,60,24,11,75,111,0,7,34,65,0,0,40,0,0,9,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
