,0001010101,0001011001,0001101010,0001101100,0001110111,0001111101,0010010001,0010011111,0010100100,0010101011,0010111001,0011010010,0011101101,0011111011,0100001000,0100001110,0100010010,0100100111,0100101011,0101001010,0101001111,0101101000,0101101101,0101111111,0110000111,0110100011,0110101101,0111001000,0111100001,0111101010,0111110010,1000000000,1000001011,1000010111,1000101110,1000110110,1001000010,1001100001,1001110000,1010101101,1011001011,1011011000,1011100000,1011111001,1100011101,1100100101,1100111011,1101001001,1101010001,1101101100,1101101111,1101111101,1110000001,1110001011,1110101110,1111000011,1111001101,1111010000,1111111011
0001010101,40,57,0,0,10,15,0,0,11,91,0,0,0,0,109,26,0,0,0,70,9,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,10,20,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001011001,13,71,0,0,0,14,0,0,0,94,8,0,0,0,109,93,0,0,0,36,8,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
0001101010,0,0,146,11,0,0,0,0,0,97,0,0,0,0,9,157,0,0,16,31,0,12,0,12,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001101100,0,0,45,49,0,16,0,0,6,62,0,0,8,0,170,83,0,0,0,0,0,16,13,9,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0
0001110111,14,10,47,0,22,14,0,0,8,150,0,0,17,0,12,37,0,12,0,67,12,0,0,25,0,0,0,0,0,0,11,0,0,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
0001111101,25,16,0,35,16,24,0,0,10,89,9,0,21,0,157,8,0,0,0,0,22,0,18,23,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0
0010010001,20,32,0,0,0,0,38,0,13,190,6,0,0,0,32,94,0,0,0,20,0,0,0,0,0,7,0,0,0,9,0,0,0,8,0,0,0,0,0,0,22,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010011111,0,0,0,0,0,0,0,9,0,128,0,9,5,0,122,99,0,0,0,18,42,0,0,0,10,0,11,0,0,0,0,0,0,21,0,0,0,0,0,8,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010100100,0,0,8,7,0,0,0,0,102,162,0,0,0,0,149,38,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
