,0000100010,0000110001,0000111110,0110000100,0110010000,0110100000,0110111110,1000100011,1000110111,1000111101,1001000111,1011000100,1011010000,1011011101,1110100011,1110110111,1111101101
0000100010,191,226,19,0,0,17,0,25,9,0,13,0,0,0,0,0,0
0000110001,16,415,0,0,0,0,0,14,35,12,0,0,8,0,0,0,0
0000111110,22,179,137,0,0,0,14,0,103,12,33,0,0,0,0,0,0
0110000100,0,108,0,113,16,41,0,19,0,0,178,25,0,0,0,0,0
0110010000,0,154,0,89,18,44,0,0,0,0,118,0,77,0,0,0,0
0110100000,37,254,0,70,26,85,0,0,0,0,28,0,0,0,0,0,0
0110111110,0,70,112,82,30,66,0,0,76,16,39,0,0,0,0,9,0
1000100011,54,222,0,0,0,0,0,163,17,0,30,0,0,0,14,0,0
1000110111,27,127,18,0,0,0,0,118,157,15,30,0,0,0,0,8,0
1000111101,0,188,21,0,0,0,0,58,94,86,27,0,0,12,0,0,14
1001000111,12,79,0,0,0,0,0,101,11,0,297,0,0,0,0,0,0
1011000100,6,59,0,13,0,0,0,4,0,0,292,104,10,12,0,0,0
1011010000,7,112,0,0,10,0,0,0,0,0,122,107,129,13,0,0,0
1011011101,0,18,0,0,0,0,0,9,26,38,259,36,38,76,0,0,0
1110100011,14,157,0,33,0,51,0,110,0,0,116,0,0,0,0,19,0
1110110111,0,96,0,32,13,0,14,52,170,0,91,0,0,0,12,10,10
1111101101,0,104,0,0,0,28,0,6,25,74,216,23,0,14,0,0,10
