,0000001000,0000011010,0000100001,0000101010,0000101111,0000110010,0000111011,0000111100,0001000010,0001000101,0001100110,0001110011,0001111110,0010000010,0010010101,0010110100,0011010110,0011011010,0011101001,0011110010,0011111101,0100000110,0100101000,0100111001,0100111111,0101000111,0101010001,0101010110,0101100100,0101101101,0101111100,0110000101,0110001001,0110010111,0110100110,0111000001,0111001101,0111010000,0111010101,0111011011,0111011110,0111101011,0111110011,1000001111,1000010111,1000011100,1000110011,1000110100,1000111001,1001010010,1001100000,1001110001,1001111000,1001111101,1010001001,1010010010,1010010100,1010100010,1010100100,1011000000,1011001111,1011011011,1011011100,1011100011,1011100110,1011111110,1100000011,1100001101,1100001110,1100010101,1100100101,1100101001,1100110000,1100111010,1100111101,1101000010,1101001100,1101011001,1101011010,1101101111,1101110111,1110000000,1110001100,1110101010,1110110001,1111000101,1111010001,1111010010,1111100001,1111110101
0000001000,219,11,0,12,0,0,0,0,9,12,0,0,0,41,0,0,0,0,8,0,0,141,11,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,13,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000011010,102,114,0,26,0,8,26,18,3,0,0,0,0,32,0,0,0,16,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,10,0,0,0,13,0,0,0,0,0,0,0
0000100001,62,0,142,19,0,0,0,0,0,12,0,0,0,23,0,0,0,0,12,0,0,100,8,0,0,0,23,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,15,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000101010,138,33,10,176,13,13,17,18,19,0,0,0,0,13,0,0,0,0,0,0,0,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000101111,52,0,85,66,74,0,16,23,10,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,6,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,24,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
0000110010,7,34,11,80,0,18,24,8,0,0,0,6,0,24,0,6,0,0,0,7,0,109,11,0,0,0,9,0,0,0,0,0,0,74,0,0,0,0,0,0,0,15,0,6,0,0,11,14,0,0,0,0,15,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111011,69,75,26,62,27,9,45,21,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,23,13,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,16,0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111100,66,20,15,0,0,0,0,86,0,0,16,0,10,0,15,9,0,0,0,0,0,139,9,9,0,0,0,0,0,0,11,0,0,25,0,0,0,0,0,0,0,0,0,10,0,17,0,17,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001000010,43,11,8,38,0,14,0,0,110,0,13,0,0,15,0,0,23,0,0,0,0,132,14,0,0,0,0,0,0,0,0,0,0,15,0,13,0,0,0,0,0,0,0,10,0,0,0,0,0,12,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001000101,0,0,57,0,0,0,0,0,24,116,6,8,0,10,9,0,0,0,0,0,0,183,0,0,0,12,9,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
0001100110,13,0,21,71,6,10,0,7,68,0,70,6,12,14,0,9,18,0,0,0,0,85,14,0,0,13,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001110011,19,23,40,21,0,28,21,0,23,0,0,58,0,0,0,0,0,0,12,10,0,32,0,0,0,0,24,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,9,0,0,0,10,0,0,21,0,9,13,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001111110,10,52,12,46,18,11,24,75,6,0,29,18,21,0,0,11,6,0,0,0,0,29,0,0,0,0,0,8,0,0,12,0,0,41,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
0010000010,40,27,14,38,0,9,0,0,40,0,0,0,0,169,0,0,13,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,11,0,13,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,13,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010101,0,11,10,0,0,0,0,0,0,11,0,12,0,62,54,9,0,0,0,0,13,134,0,0,0,0,6,0,0,0,0,14,0,115,0,0,0,0,11,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
0010110100,8,12,12,15,0,8,0,72,0,0,39,11,0,43,28,55,0,0,0,0,0,91,11,0,0,0,0,0,0,0,0,10,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,8,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
0011010110,0,38,0,0,0,0,0,0,33,0,16,15,5,11,10,16,45,13,0,17,9,129,0,0,0,0,0,15,0,0,0,0,0,58,0,0,0,10,0,0,7,0,0,16,0,0,0,0,0,15,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011011010,20,77,0,13,0,0,24,0,19,0,0,0,9,70,0,0,21,16,14,10,16,34,0,0,0,0,0,0,0,0,0,0,0,10,0,12,0,14,0,5,8,18,0,11,0,0,0,0,0,8,11,0,24,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,15,0,0,0,0,0,0,0
0011101001,65,0,41,34,11,0,14,0,7,66,7,0,0,42,0,0,0,0,117,0,9,0,0,0,0,0,0,0,0,14,0,0,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
0011110010,0,11,0,28,0,19,26,0,27,0,23,30,7,54,0,23,16,8,24,0,0,32,0,0,0,0,9,0,0,0,0,0,0,19,0,0,0,9,0,0,0,19,14,0,0,0,0,0,0,10,0,0,53,0,0,15,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
