,0000101000,0000101011,0000101110,0000111101,0010011000,0010011011,0011000111,0011001011,0011111100,0111000100,0111001110,1001100010,1010010010,1011110010,1100101000,1100111100,1101000100,1101000111,1101001011,1101001110,1101010010
0000101000,90,7,6,5,0,0,0,0,0,131,0,5,0,0,6,0,0,0,0,0,0
0000101011,36,122,6,0,0,0,13,0,0,70,0,3,0,0,0,0,0,0,0,0,0
0000101110,5,37,77,7,0,0,12,0,0,111,0,1,0,0,0,0,0,0,0,0,0
0000111101,49,54,5,76,3,0,5,0,4,54,0,0,0,0,0,0,0,0,0,0,0
0010011000,46,0,4,4,66,6,0,0,5,80,0,0,5,0,0,0,0,0,0,0,34
0010011011,16,66,5,0,47,3,47,4,6,42,0,0,6,0,0,0,0,0,0,0,8
0011000111,0,7,0,0,0,0,104,2,0,123,3,0,0,0,0,0,0,8,0,0,3
0011001011,8,69,0,0,0,8,38,0,4,93,4,0,0,0,0,0,0,0,10,0,16
0011111100,10,7,20,47,9,0,0,0,60,73,0,0,0,0,0,0,0,0,0,0,24
0111000100,0,0,0,0,0,0,6,0,0,220,8,0,0,0,0,0,3,0,0,0,13
0111001110,0,6,54,0,0,0,21,1,4,128,17,0,0,0,0,0,0,5,0,4,10
1001100010,5,6,4,0,0,0,7,0,0,138,0,42,0,8,0,0,9,0,0,0,31
1010010010,0,0,10,0,54,3,2,0,0,99,0,33,11,6,0,0,0,0,0,0,32
1011110010,0,0,0,0,0,0,6,0,68,90,0,36,3,0,0,0,0,0,0,0,47
1100101000,69,13,7,0,0,0,0,0,0,79,0,20,0,0,17,3,42,0,0,0,0
1100111100,39,12,30,55,7,0,0,0,10,38,0,6,0,0,16,0,33,0,0,0,4
1101000100,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,70,2,0,2,32
1101000111,0,2,0,0,0,0,104,0,0,42,0,17,0,0,0,0,41,8,6,8,22
1101001011,2,66,0,0,0,0,21,14,0,26,0,28,0,0,0,0,37,18,14,1,23
1101001110,0,3,62,0,0,0,16,0,0,47,31,11,0,0,0,0,32,21,8,0,19
1101010010,0,0,0,0,4,0,0,0,5,63,0,46,0,0,4,0,29,3,8,2,86
