,0000000011,0000000101,0000101110,0000110010,0001001111,0001010011,0001101011,0001111111,0010000000,0010011010,0010111011,0011000010,0011001000,0011100100,0011101101,0011101110,0011110001,0100001101,0100100111,0100111100,0101001000,0101100101,0101101111,0101110001,0101110010,0110010100,0110101100,0110110000,0111001101,0111001110,0111100110,1000000110,1000011001,1000011111,1000110011,1001010001,1001101001,1001110111,1001111011,1001111110,1010010011,1010100111,1010110000,1011010010,1011011110,1011101111,1100000100,1100000111,1100001011,1100110010,1100110101,1100111001,1101010011,1101100111,1110000011,1110000110,1110011000,1110100100,1110101001,1110110001,1110111110,1111000010,1111000111,1111001100,1111011001,1111101000
0000000011,404,43,0,0,0,12,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000101,131,301,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,16,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
0000101110,207,57,58,14,8,0,9,8,0,25,0,0,0,14,0,5,0,0,0,12,0,0,10,0,0,0,7,0,0,0,0,39,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000110010,190,13,11,35,0,25,14,0,7,0,6,12,0,0,0,0,0,0,15,0,0,0,0,80,11,0,0,8,0,0,0,6,0,0,11,14,0,0,0,0,11,0,21,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001001111,223,77,12,0,32,0,13,9,0,14,0,0,0,0,0,0,0,17,0,0,0,0,19,0,0,0,0,0,0,0,0,8,0,11,0,0,0,19,0,0,0,19,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
0001010011,236,25,0,14,0,94,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,10,0,29,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
0001101011,252,17,10,9,22,12,87,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,8,0,0,0,0,0,0,0,0,0,0,0,0,18,14,11,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001111111,80,71,20,16,23,10,10,22,0,22,24,0,0,10,0,0,0,8,16,0,0,0,21,34,0,0,0,0,0,0,0,13,0,20,0,0,0,25,13,12,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
0010000000,150,52,0,0,0,0,0,0,106,14,0,23,16,0,0,0,0,0,0,0,0,0,0,7,0,31,15,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
