,0000001011,0000010011,0000010101,0000011001,0000101111,0001000101,0001001001,0001011011,0001100100,0010000100,0010100101,0010110001,0011010011,0011101000,0100011011,0100100001,0100101011,0100101100,0100110011,0101001111,0101100111,0110011100,0110100111,0110111010,0111000000,0111000101,0111001100,0111011001,0111011111,0111110010,0111110100,1000111010,1001010111,1001011100,1001100111,1001110011,1010001110,1010110010,1010111000,1011000010,1011100100,1100000011,1100001010,1100011000,1100011111,1100100000,1100101110,1100110010,1101001100,1101010100,1101011101,1101110101,1101111100,1110010101,1110101111,1110111100,1111001011,1111011110,1111110110,1111111000
0000001011,314,15,0,42,5,7,18,15,0,0,0,0,0,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000010011,144,191,22,17,0,12,0,26,0,0,0,10,9,0,24,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000010101,95,95,199,10,0,24,0,0,0,0,0,0,0,0,12,0,0,13,0,0,0,0,0,0,0,7,0,0,0,0,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
0000011001,117,43,87,152,0,0,23,10,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000101111,176,12,10,38,130,71,0,0,0,0,11,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
0001000101,146,9,86,0,0,124,59,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001001001,175,0,18,58,0,76,143,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001011011,125,60,22,90,8,0,40,65,0,0,0,0,9,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
0001100100,62,0,49,0,13,119,34,0,125,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,23,0,0,0,0,0,11,0,0,0,4,0,0,0,0,25,12,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
0010000100,129,0,83,0,0,23,22,0,22,53,23,0,0,0,0,0,0,21,0,0,0,14,0,0,12,7,0,0,0,0,0,0,0,0,0,0,11,0,0,69,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
