,0000001101,0000010001,0000101100,0000110110,0000111011,0001001011,0001010111,0001011010,0001011100,0001100111,0001111001,0001111110,0010010010,0010010101,0010100101,0010101110,0010110100,0010110111,0010111101,0011000101,0011001010,0011010110,0011110010,0100000110,0100001001,0100011010,0100011100,0100100010,0100101011,0100101110,0100111001,0101001010,0101001111,0101010110,0101100100,0101101000,0110000010,0110000111,0110011011,0110100001,0110111000,0111000011,0111001110,0111011010,0111101011,0111110101,0111111110,1000000100,1000010011,1000010101,1000011010,1000100110,1000101001,1000101010,1000101111,1000111110,1001010100,1001100011,1001110010,1001110101,1010010001,1010011000,1010011011,1010100000,1010110101,1010111001,1010111111,1011000011,1011000100,1011001110,1011011100,1011100001,1011101101,1011110011,1011111000,1100000001,1100100100,1100110010,1100110111,1101001011,1101010011,1101011001,1101011100,1101100110,1101101001,1101101010,1110001001,1110001110,1110010010,1110010100,1110011111,1110100111,1110101000,1110101011,1110110011,1111000001,1111001010,1111001101,1111100000,1111101110,1111110111,1111111100
0000001101,146,0,14,89,64,22,0,0,0,0,7,0,0,0,0,0,0,0,0,12,0,0,0,21,10,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14,0,0,18,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
0000010001,11,164,0,77,55,11,8,0,0,0,15,0,12,9,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,16,12,0,0,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000101100,100,0,33,97,29,13,0,0,0,0,10,0,0,0,0,12,0,0,0,0,8,0,0,0,19,0,17,0,0,17,0,0,0,0,31,14,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,26,8,11,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
0000110110,4,40,0,277,8,0,8,0,0,0,0,10,0,0,0,13,23,13,0,0,0,0,13,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,14,0,11,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111011,0,23,0,40,253,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,10,44,28,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001001011,15,0,0,17,125,117,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,117,12,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001010111,14,38,0,90,67,20,95,0,0,15,0,0,0,14,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,81,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001011010,0,26,0,23,112,74,0,0,10,0,0,8,28,0,0,0,0,0,0,0,7,0,9,0,0,21,0,0,0,0,0,53,0,0,0,18,0,0,0,0,0,0,0,10,0,0,0,0,10,0,8,0,0,36,0,0,0,0,12,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001011100,95,27,12,69,39,43,12,15,22,0,21,11,0,0,0,0,0,0,0,12,11,0,0,7,0,0,27,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001100111,6,9,0,178,27,18,40,0,0,38,0,0,0,0,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
