,0000111000,0000111101,0010000010,0010001100,0100010001,0100010010,0100011101,0110000001,0110001101,0110111000,0110111011,0110111101,0111100010,1000111011,1010000001,1010001101,1010001110,1010011011,1100011011,1111100001,1111100110,1111111011,1111111101
0000111000,110,67,0,0,45,16,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111101,61,149,0,0,16,12,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
0010000010,0,5,50,18,23,103,0,42,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0
0010001100,12,101,9,70,12,6,5,19,6,0,0,0,0,0,0,4,6,0,0,0,0,0,0
0100010001,3,12,0,0,200,6,12,11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
0100010010,9,0,6,0,86,143,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
0100011101,8,85,0,0,83,11,30,0,8,0,0,3,0,0,0,0,0,0,22,0,0,0,0
0110000001,0,16,7,8,103,0,0,101,3,0,0,0,0,0,8,0,0,0,0,4,0,0,0
0110001101,0,50,0,34,31,0,23,79,3,0,0,4,0,0,0,16,0,0,4,6,0,0,0
0110111000,76,14,7,18,40,5,6,13,0,46,6,10,0,0,0,0,0,0,0,0,0,9,0
0110111011,42,26,7,0,37,21,0,24,0,31,0,19,0,10,0,0,0,0,22,0,0,11,0
0110111101,17,78,0,2,16,6,8,18,11,35,5,35,0,0,0,0,0,0,6,6,0,0,7
0111100010,0,24,52,0,10,84,0,26,0,14,0,0,11,0,0,0,0,0,0,21,8,0,0
1000111011,68,62,0,0,32,55,0,0,0,0,3,0,0,15,0,0,0,11,4,0,0,0,0
1010000001,0,34,6,14,70,0,0,60,0,0,0,0,0,0,46,16,4,0,0,0,0,0,0
1010001101,0,81,0,32,24,0,10,29,12,0,0,0,0,0,27,28,7,0,0,0,0,0,0
1010001110,3,57,32,41,0,39,6,8,0,0,0,0,0,0,0,26,38,0,0,0,0,0,0
1010011011,12,17,7,0,44,55,0,9,0,0,5,0,0,22,27,31,6,8,7,0,0,0,0
1100011011,15,6,0,0,85,62,20,1,0,0,4,0,0,28,0,4,0,9,16,0,0,0,0
1111100001,0,17,0,0,83,0,0,42,0,0,0,0,4,0,37,0,0,0,0,65,0,2,0
1111100110,0,14,42,18,22,44,0,0,0,0,0,3,19,0,0,0,39,0,0,43,6,0,0
1111111011,29,0,0,0,33,22,0,7,0,19,9,4,9,10,16,26,0,2,18,27,7,7,5
1111111101,17,54,0,0,21,14,10,0,5,21,0,28,0,0,12,20,0,0,0,25,6,17,0
