,0010100101,0011000101,0011001000,0011010011,0011011101,0100111110,0101011110,0110011110,0111110011,1010100010,1011010010,1011011110,1100100011,1100111101,1101010011,1101011101,1110000101,1110010011,1110011101
0010100101,155,292,0,12,0,0,0,0,0,0,0,0,23,9,0,0,9,0,0
0011000101,31,418,0,27,10,0,0,0,0,0,0,0,0,0,0,0,14,0,0
0011001000,25,256,149,22,12,0,0,0,0,0,9,0,0,0,0,0,0,27,0
0011010011,0,123,0,307,9,0,0,0,12,0,4,0,0,0,28,0,0,17,0
0011011101,0,206,16,47,160,0,0,0,0,0,0,0,0,66,0,0,0,0,5
0100111110,10,120,0,50,47,34,5,12,0,0,0,0,60,114,48,0,0,0,0
0101011110,0,158,0,29,116,26,0,9,0,0,0,10,11,68,59,0,0,14,0
0110011110,13,61,0,65,114,34,5,0,0,0,0,11,0,43,0,0,57,75,22
0111110011,8,66,0,249,18,0,0,0,36,0,0,0,40,0,69,0,0,14,0
1010100010,126,95,11,34,0,0,0,0,0,23,63,0,52,0,86,0,0,10,0
1011010010,0,50,7,216,0,0,0,0,13,10,83,13,0,0,100,0,0,8,0
1011011110,0,54,14,71,147,37,14,14,0,6,78,0,0,19,46,0,0,0,0
1100100011,15,25,0,0,0,0,0,0,0,9,0,0,185,0,259,0,0,7,0
1100111101,0,35,0,9,7,11,0,0,0,0,0,0,125,166,123,11,0,0,13
1101010011,0,47,0,84,0,0,0,0,12,0,0,0,26,0,322,0,0,9,0
1101011101,0,106,0,0,83,0,12,0,0,0,0,0,60,92,128,0,0,5,14
1110000101,34,161,0,0,0,0,0,0,0,0,0,0,108,0,28,0,102,61,6
1110010011,0,17,0,120,0,0,0,0,11,0,10,0,12,0,162,0,16,152,0
1110011101,0,53,0,0,92,0,0,16,0,0,0,0,40,76,45,14,77,65,22
