,Fitness,Location,Maxima
0000000000,0.9826667754347392,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.9181330943223309,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,1.0069018666257716,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,1.2436590187617198,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",1
0000000100,1.114012998248398,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,1.4271204280848235,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",1
0000000110,1.1746243784110324,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,1.2007584949413639,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.8917346627435319,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.8144233765951873,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,1.0032532185414313,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,1.0089464011574258,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.8403245215051751,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,1.178127897368618,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,1.02935011008433,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,1.0451852990238373,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,0.8638874665937744,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,1.0352100762704413,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.713889102957821,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.9264678716531018,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.8790829878402779,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,1.0769095040768888,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.7484187624138913,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.9133293371208138,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.7089489401225457,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.8666096266297312,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.7903574337241399,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.8895057112689597,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.7310287602145764,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,0.832683780030098,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.9735174616990241,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,0.9980710474342119,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,0.8068824272958237,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,0.9406784461531141,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,0.9778073271339125,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",0
0000100011,1.1085915120282115,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",0
0000100100,1.12554327640535,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,1.1430739502176168,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,0.9361258487857083,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",0
0000100111,0.9074285259330668,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,0.883883541221232,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,0.8239964295562483,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,0.839867312499632,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",0
0000101011,1.0580718948296566,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",0
0000101100,0.9685458489366324,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",0
0000101101,1.0868762923079422,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",0
0000101110,1.075400661420617,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",1
0000101111,0.9016642728584209,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",0
0000110000,0.8209983030494026,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",0
0000110001,1.1406471644928131,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 1)",0
0000110010,1.1720629351167247,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 0)",1
0000110011,0.9286587356804107,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 1)",0
