,0000000010,0000001111,0000010000,0000010101,0000011011,0000101000,0000110100,0000111101,0001000110,0001110000,0010000110,0010001101,0010010001,0010101011,0011000000,0011010110,0011100111,0011101100,0011111101,0100000001,0100001100,0100010111,0100100010,0100100111,0100101011,0100111100,0101001101,0101011110,0101101100,0101110101,0101110110,0101111011,0110000111,0110010010,0110011000,0110011110,0110101001,0110111111,0111001100,0111011001,0111101011,0111111010,1000001010,1000001100,1000010111,1000011110,1000100111,1000111010,1001000011,1001001000,1001001111,1001011010,1001100001,1001110100,1001110111,1010000111,1010001001,1010110100,1010111001,1011001101,1011010101,1011011001,1011101110,1011110011,1011110110,1011111111,1100000000,1100001011,1100001110,1100011010,1100100100,1100101101,1100110000,1100110111,1101000001,1101011100,1101101110,1101110001,1101111101,1110001100,1110010111,1110011101,1110111110,1111000110,1111001011,1111010000,1111100101,1111110111,1111111000
0000000010,284,6,13,0,9,33,0,16,19,0,10,0,0,0,0,0,14,0,0,10,15,0,15,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000001111,131,122,0,0,10,34,0,19,27,0,7,8,0,7,0,0,12,0,0,13,15,0,0,0,0,0,13,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8,8,11,0,16,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000010000,134,0,23,20,5,105,12,12,7,29,0,0,15,0,9,0,0,0,0,25,12,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000010101,123,10,16,101,8,54,7,34,12,9,14,0,12,0,0,0,0,0,0,26,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000011011,132,112,0,0,96,26,0,7,0,25,0,0,0,9,0,0,0,0,0,17,13,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
0000101000,93,10,18,0,0,202,14,34,4,13,0,0,0,11,0,0,0,0,0,9,8,0,11,0,0,0,0,0,0,0,0,0,0,0,9,0,30,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000110100,48,0,24,54,0,68,77,79,0,31,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,15,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,10,0,0,0,15,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111101,65,17,0,48,11,49,32,169,0,23,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001000110,147,8,0,0,0,65,5,12,103,0,35,0,0,0,0,13,37,0,0,0,13,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
