,Fitness,Location,Maxima
0000000000,0.4426575486342513,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.5362865728272379,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,0.4476227972053798,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,0.6871353183530591,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",1
0000000100,0.47724819004191615,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.5095299792085444,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.40753443033429465,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.6358634101197341,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.45630906426530926,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.4683461826591622,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,0.5148850143430154,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,0.5051250745140335,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.5942267008583241,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,0.5428499756414266,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,0.40718213974450485,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,0.6766672665147218,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",1
0000010000,0.5240337598737852,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,0.525386125985716,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.5347623415772624,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",1
0000010011,0.4729189442581371,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.3268287392627621,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,0.5231926037649572,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.5335067307723922,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.48667589778755066,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.4752310075785573,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.3291698115596425,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.4660990328670061,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.4955130418481396,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.6698560712127597,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",1
0000011101,0.42694057633006677,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.3896449625628421,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,0.36656566011887803,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,0.26506530949557466,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,0.4459543380966114,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
