,0000001100,0000111100,0001001010,0001001101,0001011001,0001110000,0001111110,0010000101,0010001010,0010100011,0010100110,0010110010,0010111001,0010111110,0011110001,0011110111,0100000011,0100000100,0100001010,0100001101,0100011001,0100110001,0100111110,0101000001,0101000010,0101011111,0101111010,0110000110,0110001100,0110100111,0111000100,0111001111,0111010111,0111011010,0111100000,0111101011,0111101110,0111111101,1000001010,1000111001,1001000000,1001000011,1001001100,1001011111,1001110011,1010001011,1010001100,1010010001,1010010111,1010101111,1010111000,1010111011,1011001111,1011011101,1011100111,1100000110,1101011100,1101100001,1101101110,1101110110,1101111011,1110000010,1110000111,1110001101,1110010011,1110011010,1110100001,1110101010,1110110110,1110111111,1111000110,1111011001,1111100101,1111110011
0000001100,286,15,11,6,0,10,0,34,12,0,0,0,0,14,0,0,0,41,11,10,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111100,160,146,9,0,0,38,11,29,0,0,0,0,7,27,0,0,0,0,0,0,0,0,10,0,0,10,0,0,13,0,0,0,0,0,0,0,0,0,0,11,0,0,16,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001001010,117,0,123,0,0,72,0,86,32,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,16,0,0,0,0,0,0,0,0,13,0,0,0,0,15,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001001101,126,0,6,60,30,67,0,128,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,27,0,30,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001011001,76,29,25,21,58,89,0,89,0,0,0,0,15,0,0,0,0,10,0,0,22,0,0,15,0,17,0,0,0,0,0,0,0,9,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001110000,85,97,11,0,0,214,0,18,0,5,0,0,0,0,8,0,0,0,0,0,0,11,0,0,8,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001111110,64,48,90,0,0,23,31,76,0,0,0,0,0,18,0,21,0,0,0,0,0,0,9,0,0,13,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010000101,133,0,0,9,0,20,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
0010001010,107,0,67,0,0,20,0,123,106,0,0,0,0,13,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
0010100011,60,0,0,0,0,50,0,173,17,101,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,13,0,0,0,0,0,0,10,0,0,0,8,0,19,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0
