,0000000010,0000010110,0000100111,0000101010,0000110000,0010000100,0010010010,0010100110,0011000011,0011001010,0011101110,0011110100,0100001011,0100001101,0100100010,0101000011,0101010101,0101011000,0101011110,0101101110,0101110110,0101111001,0110000001,0110000111,0110001000,0110101011,0110101101,0110110101,0111000110,0111001011,0111001101,0111011001,0111011010,0111100100,0111101010,0111101111,0111111110,1000000100,1000001111,1000101000,1000111011,1001011111,1001110010,1010011000,1011011001,1011100111,1011101100,1011110001,1011111010,1100101011,1100110111,1101011100,1110001110,1110010111,1110011011,1110111111,1111000010,1111011110,1111100011,1111101110,1111110111
0000000010,371,7,0,14,0,0,7,0,52,13,0,0,0,19,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000010110,186,184,13,0,0,0,13,0,0,23,0,0,0,0,0,0,0,0,10,8,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000100111,83,54,84,34,0,0,0,13,64,0,0,0,0,26,9,17,0,0,0,15,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000101010,167,9,3,191,0,0,0,0,0,25,0,0,0,8,12,0,0,0,0,0,0,10,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,13,0,25,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000110000,180,76,0,28,55,0,22,0,49,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010000100,82,31,0,0,0,81,7,7,67,37,0,0,0,39,0,7,0,0,0,0,0,0,11,22,0,0,0,0,14,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,12,0,0,0,0,0,7,0,0,0,0,0,0,0,0
0010010010,167,49,0,6,6,0,59,0,114,25,0,0,0,0,0,0,0,0,8,0,0,0,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
0010100110,82,39,46,28,0,51,0,0,40,10,13,13,0,0,14,0,0,0,0,11,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
0011000011,78,0,0,12,0,0,0,0,277,12,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011001010,90,0,0,39,0,0,0,0,130,107,10,0,0,14,0,0,0,0,21,0,0,0,0,0,0,0,0,0,10,23,0,0,7,0,7,0,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011101110,7,11,10,50,0,13,0,14,54,99,0,7,0,0,0,0,0,0,0,30,0,10,0,18,0,0,16,0,6,0,0,0,0,0,13,10,4,28,0,0,0,14,0,0,0,19,39,0,0,0,0,0,10,0,0,0,0,0,0,18,0
0011110100,11,52,0,0,33,23,0,0,48,85,0,26,0,0,0,14,15,0,0,26,0,20,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,68,0,0,0,30,0,0,0,0,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0
0100001011,115,7,12,32,0,0,0,0,32,11,0,0,55,44,19,27,0,0,12,0,0,59,15,17,0,7,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,13,0,0,0,0,0,0
