,0110001001,0110010011,0110110101,0111000001,1010010101,1011000101,1011011101,1100001100,1101111100,1110111100,1111000011,1111000100,1111011011,1111011100
0110001001,377,39,0,58,0,0,0,14,0,0,12,0,0,0
0110010011,106,384,0,10,0,0,0,0,0,0,0,0,0,0
0110110101,88,307,26,14,9,0,46,0,0,10,0,0,0,0
0111000001,157,87,0,231,0,0,0,0,0,0,25,0,0,0
1010010101,22,273,17,0,104,11,13,0,0,9,51,0,0,0
1011000101,46,66,0,141,61,30,12,0,0,0,135,9,0,0
1011011101,40,162,0,0,79,31,40,0,0,0,64,0,74,10
1100001100,100,56,0,61,0,0,0,150,14,10,73,36,0,0
1101111100,0,102,0,36,7,0,152,103,15,13,31,35,0,6
1110111100,41,107,32,10,36,0,51,124,30,17,27,11,0,14
1111000011,76,134,0,110,0,0,0,0,0,0,170,0,10,0
1111000100,37,62,0,120,4,44,0,65,0,14,123,17,0,14
1111011011,72,283,0,0,0,0,0,0,0,0,54,0,91,0
1111011100,33,105,0,0,18,10,95,111,13,27,28,26,34,0
