,0010011100,0100000010,0101011011,0101011100,0111111011,1000000000,1000011100,1011111001,1011111010,1011111100,1101011001,1110011001,1110011100
0010011100,139,112,173,30,0,0,16,0,0,13,0,0,17
0100000010,0,469,31,0,0,0,0,0,0,0,0,0,0
0101011011,0,126,345,15,6,0,0,0,0,0,8,0,0
0101011100,93,181,86,126,0,0,7,0,0,7,0,0,0
0111111011,0,73,232,13,168,0,0,14,0,0,0,0,0
1000000000,0,316,20,0,0,134,16,14,0,0,0,0,0
1000011100,83,76,122,69,0,97,31,0,0,10,0,0,12
1011111001,0,0,174,11,85,26,0,156,8,16,11,13,0
1011111010,0,40,179,0,120,8,0,95,47,11,0,0,0
1011111100,62,11,70,45,34,22,34,141,37,35,0,0,9
1101011001,0,98,238,57,0,21,0,75,0,0,0,11,0
1110011001,0,85,228,25,0,14,0,68,0,0,10,61,9
1110011100,65,69,130,45,0,0,19,32,11,43,0,73,13
