,0000010111,0000100111,0000111001,0000111111,0001000110,0001101101,0001110001,0001110111,0010000011,0010001100,0010110111,0011000101,0011010100,0100011011,0100011110,0101010001,0101100010,0101100100,0101101001,0110011100,0110100101,0111001101,0111011111,0111100111,0111111100,1000000011,1000000100,1000010010,1000011110,1000111000,1001001110,1001010011,1001100011,1010000000,1010001101,1010001110,1010111101,1011000100,1011101010,1011111001,1011111110,1100010000,1100010101,1101000101,1101101010,1110000111,1110100110,1111000000,1111000110
0000010111,45,8,0,5,74,0,0,2,6,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,71,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
0000100111,20,69,0,12,87,9,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111001,17,5,112,9,72,0,6,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111111,47,18,34,38,56,3,0,6,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001000110,3,10,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,37,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001101101,10,56,53,4,29,32,0,0,0,0,0,5,0,0,0,0,0,9,5,0,0,0,0,0,0,0,38,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001110001,10,25,50,0,68,0,18,8,3,0,0,0,0,0,0,5,0,0,12,0,0,0,0,0,5,0,10,0,0,0,0,9,24,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0001110111,18,46,3,28,67,8,5,21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,19,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010000011,4,7,0,0,104,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010001100,5,6,7,0,40,0,0,0,48,45,0,1,9,0,0,0,0,0,0,7,0,0,0,0,0,0,75,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0010110111,23,48,14,20,29,0,0,11,18,6,5,0,11,0,0,0,0,0,0,0,0,0,0,6,0,8,28,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,0,0,9,0,0
0011000101,0,43,0,0,46,6,0,0,30,8,0,27,10,0,0,0,0,0,0,0,0,5,0,0,0,0,49,0,0,0,0,0,0,8,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0
0011010100,0,4,6,0,76,0,2,0,9,17,0,18,57,0,0,0,0,0,0,5,0,0,0,0,5,0,44,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
0100011011,31,0,8,3,130,0,0,0,15,0,0,0,0,16,7,5,0,0,0,8,0,0,5,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0100011110,26,0,0,3,87,0,0,0,0,34,0,0,4,7,13,0,0,0,0,16,0,0,0,0,0,0,49,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
