,0011101100,0100010111,0101101100,0111000110,1011000110,1011001000,1011010000,1011010101,1100010000,1100010110,1101101000,1110101000
0011101100,20,106,11,201,16,17,0,0,0,0,71,58
0100010111,0,476,0,10,0,0,0,0,0,7,0,7
0101101100,24,218,0,36,0,0,0,0,0,0,112,110
0111000110,0,198,0,263,17,0,0,0,0,22,0,0
1011000110,0,97,0,236,85,0,0,11,0,71,0,0
1011001000,17,9,0,207,52,47,9,8,0,21,0,130
1011010000,0,133,0,91,63,26,11,15,100,22,0,39
1011010101,0,355,0,56,21,11,15,25,17,0,0,0
1100010000,0,184,0,18,0,0,0,0,133,71,0,94
1100010110,0,251,0,30,0,0,0,0,52,158,0,9
1101101000,8,32,14,55,0,47,0,0,12,43,87,202
1110101000,21,7,0,90,0,10,0,0,13,49,19,291
