,0000000001,0000000010,0000001000,0000010011,0000111101,0001011101,0001100111,0010000011,0010000101,0010001110,0010100111,0010111110,0011110101,0100000101,0100001011,0100010100,0100011101,0100101111,0101010001,0101111010,0110110100,0110111101,0111000111,0111011110,0111100011,0111100101,0111101111,1000001101,1000100101,1000110011,1000111110,1001001110,1001011100,1001110010,1001110100,1010010100,1010011111,1010101110,1010110101,1010111001,1011000000,1011010111,1011100110,1011110000,1100101001,1100110001,1100111010,1100111100,1101100111,1101101000,1110000000,1110001101,1110010001,1110011000,1110101100,1110110111,1111000100,1111001010,1111010000,1111010101,1111011011,1111100000,1111101011,1111111010
0000000001,247,30,10,14,35,9,0,6,34,0,0,0,0,37,9,0,10,0,0,0,0,0,0,0,0,0,0,12,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000000010,115,284,22,15,0,0,0,12,0,0,0,0,0,5,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000001000,129,76,123,0,65,5,0,0,0,0,0,0,0,22,13,11,5,10,0,0,0,0,0,0,0,0,0,16,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000010011,115,81,0,168,12,0,0,8,0,0,0,0,0,0,9,0,9,19,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111101,41,0,0,28,171,8,0,0,0,0,0,0,15,16,0,8,32,97,0,0,0,16,0,0,0,0,0,16,15,11,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001011101,60,0,10,28,116,114,0,0,0,0,0,0,0,0,0,7,30,55,9,0,0,0,0,0,0,0,0,8,0,0,24,0,18,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001100111,50,26,0,27,35,39,22,0,0,0,18,0,16,29,0,0,0,116,0,0,0,0,0,0,0,0,0,0,8,76,11,0,0,0,0,0,8,0,0,0,0,0,14,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010000011,120,88,0,99,7,8,0,37,37,0,14,0,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,12,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010000101,167,18,0,20,56,64,0,9,9,0,11,0,8,52,0,0,0,0,0,0,0,0,0,0,0,0,0,37,9,0,0,0,0,0,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
