,0001000001,0001010010,0010101001,0100101100,0101110010,0101111100,0110000100,0110010010,1001010011,1010101111,1101111111,1110000101,1110010011,1111100101
0001000001,213,4,13,0,0,0,5,0,0,0,0,3,12,0
0001010010,87,135,0,0,3,0,5,5,9,0,0,0,6,0
0010101001,133,0,92,5,0,0,0,0,0,6,0,3,11,0
0100101100,30,0,26,31,0,7,74,28,0,0,0,4,50,0
0101110010,20,82,0,0,39,23,0,58,0,0,8,0,20,0
0101111100,48,7,0,29,10,52,63,11,0,0,13,0,17,0
0110000100,27,11,0,4,0,0,107,35,0,0,0,8,58,0
0110010010,27,77,5,0,5,0,5,77,0,0,0,0,54,0
1001010011,146,30,0,0,0,0,0,0,40,0,7,8,19,0
1010101111,76,0,46,4,0,0,0,0,7,45,4,49,19,0
1101111111,42,9,0,0,14,25,0,9,24,15,68,29,15,0
1110000101,68,0,0,0,0,0,28,10,0,0,0,66,72,6
1110010011,62,11,0,0,0,0,0,42,26,3,4,7,95,0
1111100101,133,7,0,0,0,3,26,0,0,0,29,46,3,3
