,0000011001,0000100100,0000101110,0000111111,0001001100,0001111100,0010110000,0010110011,0011100011,0011101001,0100001100,0100010011,0100111000,0101010100,0101011000,0101111111,0110001101,0110011000,0110100000,0110100011,0110110010,0110110100,0110111111,0111001110,0111100100,1000000011,1000000101,1000011000,1000011101,1001001001,1001010011,1001100110,1001110100,1010010111,1010100011,1011110101,1100000000,1100010001,1100010010,1100100010,1100110101,1101000010,1101001100,1101010110,1101011010,1101101000,1101110001,1101111110,1110101101,1110110110,1111000011,1111001000,1111001111,1111100001,1111100010,1111111000
0000011001,346,0,0,3,62,0,0,0,14,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000100100,75,46,4,0,97,0,10,0,50,46,13,0,0,67,0,0,0,0,11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,43,0,0,0,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
0000101110,48,11,92,11,120,0,0,0,74,9,14,0,0,69,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
0000111111,148,0,61,67,34,0,0,11,12,0,0,17,0,97,0,10,0,0,0,0,0,0,6,0,0,10,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001001100,28,16,6,0,354,14,0,0,10,21,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
0001111100,24,9,33,29,169,52,0,0,7,18,12,0,30,74,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,10,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010110000,104,13,0,0,24,13,9,17,126,32,0,0,30,33,0,0,0,0,29,0,14,19,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
0010110011,139,0,0,9,10,0,7,58,132,26,0,6,0,41,0,0,0,0,0,32,12,0,0,0,0,15,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011100011,37,0,0,0,58,0,0,40,198,60,0,0,0,16,0,0,0,0,0,21,0,0,0,0,0,31,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,12,0,0
0011101001,95,0,0,0,61,0,0,0,103,173,0,0,16,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
0100001100,37,7,9,0,215,0,0,0,19,0,31,0,22,12,0,0,9,0,12,0,0,11,0,0,0,0,6,15,0,0,0,0,0,0,0,0,68,0,0,0,0,0,12,0,0,15,0,0,0,0,0,0,0,0,0,0
0100010011,163,0,0,0,19,0,0,16,82,0,0,66,6,11,0,0,0,0,0,10,7,0,0,0,0,28,0,0,0,0,18,0,0,0,0,0,44,10,11,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
0100111000,135,0,13,15,11,14,13,0,31,0,42,0,51,34,12,0,0,17,14,0,0,5,0,0,0,0,0,16,0,0,0,0,0,0,0,0,48,0,11,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
0101010100,22,9,0,0,123,21,0,0,49,0,7,8,0,145,17,0,0,0,12,0,0,13,0,0,0,0,0,17,0,0,0,0,0,0,0,0,33,0,0,0,0,0,11,13,0,0,0,0,0,0,0,0,0,0,0,0
0101011000,77,0,0,0,111,11,0,0,64,0,9,0,50,20,11,0,0,12,11,0,0,0,0,0,0,0,0,38,0,20,0,0,0,0,0,0,29,0,0,0,0,0,11,0,8,18,0,0,0,0,0,0,0,0,0,0
0101111111,42,0,43,61,89,12,0,16,35,16,0,29,0,63,0,11,0,0,0,9,0,0,7,0,0,0,0,0,0,27,19,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,12,0,0,0,0,0,0,0,0
0110001101,145,0,0,6,117,0,0,0,0,37,9,14,0,12,0,0,0,0,34,0,0,13,0,0,0,0,19,11,12,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,12,0,0,0
0110011000,85,0,0,0,90,0,10,0,56,0,10,0,63,0,22,0,0,0,30,0,6,44,0,0,0,0,0,20,0,0,0,0,0,0,0,0,52,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0110100000,30,21,0,0,18,0,22,0,76,52,0,0,21,10,0,0,0,0,124,11,13,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
