,0011000111,0100001010,0100001100,0100010011,0101100100,0101101010,1000001011,1000001101,1010100101,1011110101,1011111011,1101100101,1110001010,1110001101,1111000101,1111111010
0011000111,298,0,135,0,31,0,0,22,0,0,0,0,0,0,14,0
0100001010,0,218,234,13,0,30,0,0,0,0,0,0,5,0,0,0
0100001100,0,76,396,0,10,0,0,13,0,0,0,0,0,5,0,0
0100010011,25,51,265,125,9,8,0,10,0,0,7,0,0,0,0,0
0101100100,14,0,186,0,266,9,0,0,0,0,0,14,0,0,11,0
0101101010,15,119,31,0,174,136,0,0,0,0,16,0,0,0,0,9
1000001011,9,117,125,0,0,0,17,182,17,0,33,0,0,0,0,0
1000001101,0,0,182,0,0,0,11,271,13,0,0,0,0,11,12,0
1010100101,74,0,76,0,0,0,0,142,161,14,0,0,0,6,27,0
1011110101,156,0,0,0,47,0,0,49,118,40,39,8,0,0,43,0
1011111011,92,6,0,0,32,22,28,25,47,8,228,0,0,0,0,12
1101100101,21,0,69,0,161,10,0,97,80,11,0,12,0,0,39,0
1110001010,32,150,103,0,0,14,11,11,21,0,0,0,37,89,7,25
1110001101,23,14,161,0,0,0,0,141,20,0,0,0,6,94,41,0
1111000101,141,0,78,0,0,0,0,62,31,6,0,17,0,75,90,0
1111111010,30,32,0,0,45,101,9,0,11,11,117,0,52,33,51,8
