,0001111010,0100011101,0101100101,0110011000,0110100101,0110101000,0111000010,0111010000,1000011011,1000011100,1001100011,1001100100,1010100100,1010101000,1011000011,1011000100,1011010000,1011011100
0001111010,13,0,7,76,0,136,5,0,0,0,6,7,0,0,0,0,0,0
0100011101,0,83,9,146,3,0,0,0,6,3,0,0,0,0,0,0,0,0
0101100101,0,33,109,18,9,28,45,0,0,0,0,8,0,0,0,0,0,0
0110011000,0,7,0,191,10,14,17,9,0,2,0,0,0,0,0,0,0,0
0110100101,0,26,51,12,76,10,71,0,0,0,0,0,3,0,1,0,0,0
0110101000,0,0,0,77,29,95,45,0,0,0,0,0,0,4,0,0,0,0
0111000010,0,0,7,23,0,31,180,3,0,0,0,0,0,0,6,0,0,0
0111010000,0,0,25,106,2,13,83,16,0,0,0,0,0,0,0,0,5,0
1000011011,0,0,0,95,0,6,0,0,83,44,4,0,0,4,14,0,0,0
1000011100,0,10,0,106,0,0,0,0,8,103,0,10,8,0,0,0,0,5
1001100011,0,0,0,22,0,119,30,0,30,0,30,11,0,0,8,0,0,0
1001100100,0,0,61,6,11,52,10,0,0,24,6,68,2,0,0,10,0,0
1010100100,0,0,18,6,52,7,44,0,0,29,0,40,29,11,4,10,0,0
1010101000,0,0,0,18,8,98,28,0,0,41,0,6,26,19,0,0,6,0
1011000011,0,0,0,0,0,34,101,0,23,0,38,0,0,0,43,7,4,0
1011000100,0,0,48,0,15,18,61,0,0,30,0,30,15,0,2,14,9,8
1011010000,0,0,14,36,0,48,49,20,0,36,0,5,7,0,10,11,9,5
1011011100,0,3,28,57,0,6,24,14,0,46,0,27,9,0,8,17,11,0
