,0001000001,0001110001,0100101010,0100110010,0110010010,0110011001,1000011000,1000101010,1000110010,1001001010,1001111000,1010100101,1010101111,1011000001,1011110101,1100011001,1100101111,1100110101
0001000001,184,5,40,0,0,0,0,11,0,10,0,0,0,0,0,0,0,0
0001110001,89,114,20,2,0,0,0,0,13,0,0,0,0,0,5,0,0,7
0100101010,0,0,200,11,0,2,0,15,5,11,0,0,0,0,0,0,6,0
0100110010,0,33,89,55,3,4,0,0,47,10,0,0,0,0,0,0,0,9
0110010010,0,10,90,48,52,12,0,0,23,15,0,0,0,0,0,0,0,0
0110011001,33,19,87,12,30,54,10,0,0,0,0,0,0,0,0,1,0,4
1000011000,35,0,24,0,0,23,30,73,39,9,6,0,0,0,0,3,0,8
1000101010,0,0,96,0,0,0,2,122,11,12,0,0,0,0,0,0,7,0
1000110010,0,21,18,19,0,0,5,72,109,0,0,0,0,0,0,0,0,6
1001001010,39,0,23,0,0,0,6,70,10,94,0,0,0,8,0,0,0,0
1001111000,17,58,21,0,0,0,32,41,53,3,17,0,0,0,4,0,0,4
1010100101,5,11,3,0,0,0,0,57,16,0,0,84,3,4,3,0,5,59
1010101111,0,0,52,0,0,0,0,85,10,0,0,45,13,4,7,0,10,24
1011000001,90,0,13,0,0,0,5,44,11,20,0,20,0,37,10,0,0,0
1011110101,8,50,0,0,0,0,0,0,46,0,7,29,0,18,33,0,0,59
1100011001,51,3,22,12,3,32,32,12,9,0,0,0,0,0,0,0,28,46
1100101111,3,0,93,6,0,0,0,33,4,0,0,9,15,0,0,0,44,43
1100110101,0,42,5,44,0,0,0,0,42,0,0,4,0,0,8,11,19,75
