,0000000000,0000011010,0000011100,0000101100,0000110100,0000111001,0010110011,0011010011,0011011100,0100010000,0100100011,0101010110,0101110001,0110000111,0110001001,0110100000,0110111000,0110111011,0111001011,0111001110,0111100001,0111100010,0111111001,1000010011,1001001001,1001100000,1001100011,1001110100,1010000111,1010100000,1010111110,1011010010,1011100001,1011101010,1011101101,1011110111,1100001010,1100010001,1100101000,1101001000,1101011011,1110000110,1110101011,1110111100,1111000101,1111100110
0000000000,225,13,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000011010,81,122,5,0,0,6,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0
0000011100,103,30,39,8,8,36,0,0,6,12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000101100,121,6,28,57,7,10,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0000110100,128,10,34,8,28,13,0,0,0,16,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111001,77,13,5,27,0,100,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
0010110011,86,27,0,0,3,8,17,6,0,33,5,0,4,0,0,0,0,5,0,0,0,0,0,12,0,0,22,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,4,0,0,0
0011010011,68,33,0,0,0,0,13,75,0,23,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4,0
0011011100,58,24,49,6,6,23,0,43,10,0,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0
