,0001100100,0010101011,0010111001,0010111100,0011010100,0111100101,1011010001,1100010001,1100010100,1100100100,1100101011,1100111001
0001100100,460,9,0,6,17,0,0,0,0,8,0,0
0010101011,87,355,10,0,48,0,0,0,0,0,0,0
0010111001,34,249,97,13,107,0,0,0,0,0,0,0
0010111100,145,82,70,70,133,0,0,0,0,0,0,0
0011010100,149,0,0,15,336,0,0,0,0,0,0,0
0111100101,255,24,15,0,157,49,0,0,0,0,0,0
1011010001,77,15,28,0,358,13,0,9,0,0,0,0
1100010001,223,22,12,0,113,0,0,74,8,0,39,9
1100010100,268,13,0,0,82,0,0,59,28,26,14,10
1100100100,385,0,0,0,27,0,0,13,21,36,11,7
1100101011,105,265,20,0,0,0,0,8,0,8,81,13
1100111001,65,173,86,0,21,0,0,29,0,0,94,32
