,0000001001,0000001111,0000011000,0000100000,0000111011,0001010101,0001011110,0001100101,0001110001,0001110010,0001111101,0010000110,0010001011,0010010010,0010010101,0010011110,0010101100,0011000111,0011001000,0011001101,0011100010,0100000101,0100010100,0100011011,0100101000,0100101110,0101010010,0101110111,0101111010,0110011000,0110100010,0110111110,0111000101,0111001011,0111011111,0111100110,0111101101,0111110010,1000001000,1000010111,1000011001,1000011010,1000100011,1000100101,1000101010,1000111100,1001000111,1001011011,1001100100,1001101101,1001110011,1010001110,1010010001,1010100000,1010101101,1010110110,1011010010,1011011101,1011101001,1011110001,1100011111,1100100110,1101010111,1110000000,1110010011,1110011100,1110100101,1111011110,1111100010,1111101011,1111101100,1111110110,1111111001
0000001001,138,10,28,163,0,0,0,0,0,0,0,0,22,0,0,0,0,0,10,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,51,19,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000001111,50,90,0,72,0,0,9,0,0,0,0,24,37,0,0,0,0,9,0,0,0,17,62,19,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,70,14,0,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000011000,57,0,122,154,0,0,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,28,80,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000100000,12,0,4,369,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,34,0,13,0,0,0,0,0,14,0,0,0,0,0,0,0,12,0,0,0,15,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000111011,70,51,18,52,100,0,0,0,13,0,0,0,13,19,0,0,0,0,0,0,0,12,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001010101,14,13,0,113,9,158,11,15,17,0,22,0,0,0,14,0,0,8,0,13,0,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,28,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001011110,12,35,16,36,26,43,130,0,0,11,0,7,0,0,0,5,0,3,0,0,0,0,135,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001100101,9,11,0,213,14,27,0,17,20,0,13,0,0,0,0,0,0,13,0,0,0,23,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,57,6,0,0,17,0,11,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001110001,27,0,15,159,33,65,0,12,69,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,8,23,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
0001110010,0,0,24,135,24,16,0,0,7,55,0,0,0,10,0,0,0,0,0,0,13,0,98,0,0,0,13,0,14,0,0,0,0,0,0,0,0,14,0,0,0,10,45,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001111101,25,43,14,131,60,32,51,7,56,0,42,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010000110,0,13,0,73,0,0,13,0,0,0,0,232,0,6,0,11,0,10,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010001011,85,36,17,34,22,0,0,0,0,0,0,51,82,27,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15,7,0,0,0,6,0,0,0,66,11,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010010,0,0,21,90,0,0,0,0,0,5,0,83,11,76,0,13,0,0,0,0,0,0,112,0,0,0,12,0,0,10,8,0,0,0,0,0,0,0,0,0,0,11,25,0,0,0,0,0,0,0,0,0,14,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010010101,9,5,9,126,0,90,0,0,11,0,0,39,0,9,37,0,0,10,0,8,0,29,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,7,44,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010011110,0,40,18,64,0,0,50,0,0,0,0,61,13,32,15,13,0,8,0,0,0,0,121,0,0,0,0,0,0,7,0,18,0,0,10,0,0,0,0,0,0,10,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010101100,12,10,16,264,0,0,21,0,0,0,0,59,0,0,0,0,24,0,0,0,0,6,8,0,11,7,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,8,0,13,0,0,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011000111,0,32,0,35,9,41,7,6,0,0,0,133,14,11,0,0,0,74,0,8,0,0,16,0,0,0,0,0,0,0,0,0,11,17,11,0,0,0,0,0,0,0,63,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011001000,57,0,78,127,0,0,40,0,0,0,0,31,12,0,0,0,8,0,55,11,0,23,0,0,9,0,0,0,0,27,0,0,0,0,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011001101,29,28,9,92,0,16,54,11,0,0,27,9,6,0,15,0,12,43,27,6,0,42,0,0,0,0,0,0,0,0,0,0,12,0,14,0,9,0,0,0,0,0,0,19,0,0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011100010,20,0,0,158,0,0,0,0,0,35,0,58,0,4,0,0,0,0,7,0,0,0,21,0,0,0,0,0,5,0,25,0,0,14,0,8,0,12,0,0,0,0,70,0,21,0,0,0,0,0,11,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
0100000101,12,10,0,179,0,8,0,11,0,0,0,27,0,0,11,0,0,0,0,0,0,109,39,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,56,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0100010100,0,0,12,107,0,44,10,0,0,0,0,14,0,9,16,0,0,0,0,0,0,62,187,0,0,7,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
