,0000001001,0000110001,0000111111,0010011001,0010011111,0011010000,0011010110,0011100110,0101100110,0101101000,0110101001,0110110001,0111100111,1000000011,1000001101,1000011011,1000110011,1000111101,1001010101
0000001001,227,0,0,4,0,0,0,0,0,0,2,0,0,12,5,0,0,0,0
0000110001,127,99,0,0,0,17,0,0,0,0,0,3,0,0,0,0,4,0,0
0000111111,128,46,40,0,5,9,0,0,0,4,0,0,0,7,0,2,0,9,0
0010011001,113,7,0,60,9,54,0,0,0,0,7,0,0,0,0,0,0,0,0
0010011111,99,3,35,29,19,55,5,0,0,0,0,0,0,5,0,0,0,0,0
0011010000,51,11,0,3,0,151,9,0,0,0,0,0,0,25,0,0,0,0,0
0011010110,20,12,0,0,8,116,32,7,0,0,0,0,0,55,0,0,0,0,0
0011100110,70,10,0,0,0,33,5,26,2,0,8,0,8,88,0,0,0,0,0
0101100110,63,28,0,0,0,1,5,12,23,10,0,0,7,101,0,0,0,0,0
0101101000,147,2,0,0,0,8,0,0,8,27,27,0,0,31,0,0,0,0,0
0110101001,133,0,0,26,0,9,0,0,0,1,67,8,6,0,0,0,0,0,0
0110110001,75,51,0,20,0,45,0,0,0,0,3,50,3,3,0,0,0,0,0
0111100111,107,15,0,0,4,9,5,33,16,0,14,12,18,17,0,0,0,0,0
1000000011,156,0,0,0,0,0,0,0,0,0,0,0,0,84,0,4,6,0,0
1000001101,200,0,4,4,0,0,0,0,0,0,0,0,0,6,28,0,0,8,0
1000011011,122,0,21,28,6,4,0,0,0,0,0,0,0,34,6,26,3,0,0
1000110011,62,88,9,0,0,0,0,0,0,0,0,5,0,50,0,30,6,0,0
1000111101,112,45,31,13,0,6,0,0,0,0,0,0,0,0,28,6,0,9,0
1001010101,78,41,8,5,0,67,16,0,0,0,0,0,0,7,21,0,0,7,0
